HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
5	3	5	3	2	5	4	4	5	4	3	2	2	2	5	5	4	5	3	4	5	2	24	1	76	US
3	3	2	2	1	5	2	4	3	3	2	5	5	4	4	3	2	2	4	5	4	4	18	1	82	CA
5	3	5	2	4	4	4	2	4	5	2	2	5	4	4	5	5	0	2	1	4	3	27	1	84	US
4	3	3	5	5	2	3	2	4	5	1	2	4	4	4	5	2	3	2	4	4	2	21	3	84	GB
4	4	5	2	2	3	4	2	4	2	4	2	3	4	4	2	3	2	4	5	3	2	13	2	84	IN
1	1	2	0	2	5	4	5	3	2	1	2	4	4	4	4	2	2	4	4	2	2	18	1	48	US
2	2	3	5	4	4	3	1	4	2	2	1	1	3	5	4	1	3	2	4	5	2	16	1	63	CA
4	4	3	2	2	5	4	3	5	1	1	1	2	1	4	3	5	2	1	3	4	1	23	2	81	US
4	4	5	2	3	3	4	1	4	2	4	4	4	5	1	2	3	1	4	4	4	2	34	1	89	US
3	2	5	4	2	5	4	3	4	2	3	1	1	5	4	4	3	3	2	5	4	2	26	2	93	US
3	2	2	3	4	5	3	5	5	5	5	4	5	5	4	3	3	2	4	5	5	4	22	1	92	CA
4	1	4	4	4	3	1	2	3	3	5	2	4	4	5	5	5	2	4	5	4	3	23	1	82	GB
2	2	2	1	1	4	2	2	2	1	1	1	4	4	4	1	3	2	2	4	2	2	13	2	76	US
3	1	3	5	2	5	3	3	3	1	2	1	3	4	4	4	2	1	5	4	4	3	23	2	64	PL
4	4	4	2	3	2	4	1	4	2	5	5	2	4	4	3	2	5	3	5	5	1	17	1	81	AU
4	3	5	5	4	5	5	5	0	5	2	2	4	5	4	4	5	4	3	4	3	4	27	1	72	US
2	3	1	0	3	5	1	4	1	1	4	2	4	3	2	1	2	3	2	3	5	3	18	1	82	US
4	5	4	4	5	4	4	3	4	2	1	2	4	4	4	4	2	1	2	5	5	3	21	2	76	GB
5	4	4	4	4	5	5	2	5	4	4	5	5	5	5	5	4	4	5	5	3	4	22	2	93	US
4	4	4	1	1	4	2	4	4	1	3	4	5	5	4	0	5	3	1	3	2	1	13	1	79	US
5	4	4	3	5	4	5	3	5	5	5	2	4	4	5	5	5	5	4	5	3	5	46	1	89	US
3	4	5	3	4	5	4	2	3	2	1	3	5	5	5	5	4	5	4	5	5	3	23	1	78	CA
3	4	4	2	2	4	4	3	4	1	1	1	4	4	4	1	3	2	2	4	3	2	22	1	91	AU
5	2	3	1	2	4	2	2	4	2	5	4	5	5	4	3	5	1	4	5	5	3	18	2	80	US
4	1	4	3	2	4	1	4	1	2	2	1	2	4	4	2	2	5	4	3	5	2	13	1	49	US
2	5	4	4	2	4	3	4	4	3	2	3	5	5	2	2	1	1	1	1	3	4	26	2	57	GB
4	2	4	2	3	3	4	2	4	1	2	0	1	4	5	3	2	3	2	5	2	2	14	2	87	US
4	3	3	4	4	4	2	2	4	4	1	2	5	5	4	5	4	3	4	5	4	4	25	1	77	US
4	1	4	2	1	4	4	3	5	2	4	2	4	4	4	1	2	2	4	4	3	2	20	1	96	US
4	3	4	4	2	3	5	5	5	3	3	1	1	4	5	4	2	2	3	5	3	2	42	2	62	DE
5	5	4	1	4	5	5	5	3	2	2	5	4	4	5	5	3	3	4	4	5	4	19	2	86	CA
4	4	4	5	5	4	5	4	3	4	2	1	4	5	5	5	0	5	3	4	4	2	13	1	14	GB
3	1	5	1	1	3	3	4	4	1	1	2	2	1	4	2	1	2	2	4	2	1	23	1	92	US
4	2	4	4	5	5	3	4	5	2	1	1	1	4	4	4	2	3	2	4	4	2	13	1	73	US
3	4	3	4	4	5	5	4	2	4	3	3	5	2	5	5	3	5	4	4	0	3	19	2	34	US
4	2	2	2	5	5	4	4	2	1	1	2	2	4	2	2	5	3	4	5	3	4	17	1	94	US
3	2	2	1	1	4	5	1	4	1	4	2	5	5	0	3	5	2	2	1	4	2	24	2	98	US
4	4	5	5	3	3	5	4	4	2	4	1	5	3	4	4	4	4	2	1	2	1	24	2	95	US
5	1	4	2	4	4	4	4	2	1	1	4	2	4	2	4	1	4	3	3	5	4	18	2	92	CA
2	5	2	4	3	4	5	4	3	1	3	1	4	5	4	1	5	1	3	5	4	5	18	2	83	GB
3	3	4	4	5	3	3	2	5	5	3	0	2	4	4	5	5	5	3	4	2	2	13	2	100	GB
5	4	4	5	4	5	4	5	3	2	5	4	5	4	5	5	5	4	5	4	4	4	28	2	85	US
1	2	5	2	2	5	2	2	2	1	1	2	2	5	3	1	1	1	2	4	4	2	19	1	53	US
5	4	5	5	4	4	4	4	5	2	4	4	3	4	5	4	5	5	4	5	4	2	35	2	57	US
4	5	5	5	2	4	5	4	5	2	1	3	2	4	3	3	3	2	2	4	4	4	17	2	96	US
4	4	2	3	5	3	5	4	5	2	2	4	4	2	5	4	4	3	3	4	5	3	26	1	43	US
4	5	5	4	4	5	3	5	3	4	2	3	1	1	0	3	2	2	1	2	4	1	15	1	65	GB
2	4	5	0	2	5	5	2	5	5	4	3	5	5	5	4	3	3	4	4	4	5	13	1	61	US
5	2	3	4	2	4	4	5	4	4	2	2	4	4	5	3	4	4	2	4	2	2	26	1	89	US
5	2	4	1	4	3	4	3	3	2	1	1	2	4	3	4	1	3	1	3	2	2	22	2	86	US
5	1	1	1	3	4	1	2	1	2	0	3	0	2	5	4	3	1	1	4	1	1	32	2	90	GB
5	3	5	1	1	4	2	4	3	3	5	4	4	5	4	2	4	1	2	4	3	2	13	2	84	US
4	2	4	1	2	3	4	2	3	2	5	2	4	4	5	2	4	1	2	4	2	2	23	1	37	US
4	4	5	4	4	5	4	3	4	4	5	3	4	3	3	3	2	1	2	3	3	3	13	1	89	US
4	1	5	4	4	4	2	4	5	2	3	5	4	5	2	4	4	3	4	5	5	4	29	2	98	CA
4	2	3	3	2	4	4	5	4	2	5	5	5	4	4	3	0	5	4	4	5	4	23	1	77	US
5	5	5	2	4	2	5	4	4	3	5	5	5	5	4	4	3	4	5	5	5	5	27	1	81	US
5	5	1	5	5	4	2	4	4	2	4	2	1	4	5	4	2	4	4	4	4	1	33	2	76	AU
4	4	5	4	5	3	4	4	4	2	4	5	3	5	5	5	3	5	3	3	5	4	25	1	69	AU
5	4	4	4	5	5	3	5	5	4	2	2	4	4	3	4	5	4	4	4	3	3	26	2	54	PL
4	4	5	3	5	5	5	5	3	2	3	1	3	1	4	4	5	4	2	4	3	2	36	1	96	CA
3	4	5	1	3	4	4	2	5	4	4	1	4	4	4	3	4	4	4	4	4	1	41	2	70	SE
3	1	4	3	4	4	1	3	4	4	2	1	4	4	5	2	4	2	3	4	4	2	25	2	64	US
4	1	2	2	2	3	1	4	2	1	4	3	2	4	4	4	2	1	4	4	5	4	38	1	56	US
3	2	3	2	2	3	4	2	4	1	5	5	3	4	4	2	1	1	3	5	5	4	13	2	93	GB
2	4	4	5	1	2	2	1	4	1	1	1	2	4	4	3	3	1	4	4	5	2	13	1	98	US
0	3	4	2	4	4	4	4	5	2	3	0	4	5	2	3	3	2	1	4	2	1	20	1	65	US
4	4	4	2	2	4	5	4	4	1	2	4	4	5	4	2	3	3	5	2	4	4	18	1	80	US
4	4	5	2	3	5	5	2	3	2	2	2	2	4	4	5	5	3	2	4	4	0	23	2	74	CA
5	4	5	3	4	4	4	2	4	2	1	1	2	4	4	3	4	2	4	4	4	4	19	1	85	US
5	3	2	5	2	5	5	5	3	2	2	2	1	2	5	4	5	5	4	4	2	1	36	1	68	US
4	5	4	3	3	5	2	4	5	1	4	2	1	5	4	3	5	4	2	2	3	1	33	1	87	GB
4	4	4	4	4	5	4	4	5	2	4	4	4	4	4	4	5	5	1	2	2	1	19	1	70	US
4	2	5	3	4	2	4	3	4	1	2	2	3	3	5	5	4	3	2	5	3	3	26	1	72	US
5	4	5	3	2	5	5	2	4	4	2	3	2	0	5	4	5	4	2	4	4	2	15	2	76	US
4	5	5	4	3	4	3	3	4	3	1	2	1	4	4	4	4	3	1	0	4	1	25	1	100	US
3	1	1	2	1	5	3	3	3	5	4	1	2	4	1	2	3	1	2	4	4	4	41	1	76	US
5	3	4	2	3	5	5	1	3	2	5	5	5	4	4	5	4	3	3	5	5	5	30	1	93	GB
2	4	5	4	2	4	5	0	3	1	4	2	2	5	5	0	4	3	4	5	5	1	31	1	97	GB
5	3	4	4	4	4	5	5	2	4	3	4	4	4	4	5	4	5	4	4	4	3	19	2	84	US
4	4	3	4	2	5	4	3	5	2	3	2	3	3	5	3	4	3	5	5	5	5	15	2	83	US
3	2	3	5	2	3	4	4	5	3	3	2	4	4	5	4	3	2	4	4	4	2	15	1	74	US
5	3	2	3	5	5	3	5	2	3	2	2	3	3	5	5	4	5	1	4	5	4	22	1	45	GB
3	5	4	4	2	4	5	5	3	5	2	3	4	4	5	5	5	3	5	5	5	5	38	1	80	US
4	1	2	2	1	3	2	2	4	2	1	5	2	4	4	2	4	3	2	3	4	2	23	1	64	CA
2	4	4	3	4	4	4	1	4	3	1	1	4	4	4	3	1	1	2	2	3	1	22	1	50	DE
5	3	2	2	5	5	4	1	4	2	4	3	1	5	4	2	2	2	1	4	4	3	20	1	99	CA
5	4	5	1	3	2	4	5	5	4	4	2	1	5	5	2	3	2	4	3	4	1	37	2	81	US
5	4	2	4	2	5	2	5	4	2	0	2	3	5	4	3	5	2	4	4	2	4	36	2	86	US
4	1	2	5	2	4	4	3	4	2	1	3	3	1	3	1	3	2	2	4	5	2	33	2	89	US
2	2	4	2	2	2	2	0	4	1	2	2	2	4	2	2	1	3	3	5	2	3	22	2	91	CA
2	1	2	4	2	3	2	2	3	2	1	1	2	2	5	3	3	3	1	4	2	2	14	1	95	US
4	2	2	4	2	5	5	1	3	2	2	4	3	5	1	2	1	2	1	4	2	1	28	1	97	GB
4	1	3	5	4	4	4	5	3	2	5	4	5	5	4	4	3	4	4	4	5	4	50	2	93	US
4	5	5	2	4	4	5	5	5	4	5	4	5	5	4	3	2	5	4	5	3	4	15	1	60	US
4	4	5	3	3	4	5	4	4	5	2	2	2	5	4	4	4	3	4	2	1	4	22	1	86	US
5	2	1	2	4	4	2	1	3	4	1	1	5	4	5	2	2	2	1	1	0	3	27	2	86	GB
5	5	5	2	2	3	5	5	5	2	1	4	4	4	5	4	5	2	2	1	5	2	49	1	39	US
5	1	4	5	4	4	2	4	4	2	4	2	2	2	4	2	5	3	5	5	4	4	27	1	87	GB
5	4	2	2	3	4	5	2	3	3	4	2	4	5	4	4	3	2	4	4	3	3	28	1	98	US
4	2	5	2	2	5	3	2	2	2	4	4	4	5	4	1	3	2	5	4	4	4	33	0	57	BR
4	1	2	2	4	5	2	4	4	4	1	4	5	4	5	4	3	3	2	4	4	1	18	1	92	CA
4	2	4	3	5	4	4	2	3	4	5	2	3	4	4	3	3	3	2	4	4	2	37	2	94	US
4	4	5	1	4	5	4	4	4	2	5	5	0	4	5	5	4	2	4	4	5	2	31	1	94	US
2	4	4	2	5	4	4	2	5	1	4	4	5	5	3	4	5	2	2	4	2	3	22	1	96	US
5	5	4	1	4	3	4	2	5	2	5	2	5	4	4	3	5	2	4	4	4	2	28	1	67	US
0	3	4	3	2	5	4	4	5	2	2	1	1	3	1	3	3	4	2	1	5	1	16	1	73	BR
2	2	5	2	2	4	3	2	4	3	2	2	2	4	2	3	1	1	2	2	4	1	23	2	98	GB
4	3	5	2	4	5	4	5	4	1	2	1	2	2	4	3	4	4	4	4	3	1	17	2	98	AU
4	4	5	2	3	4	2	1	5	1	2	1	2	4	4	4	4	4	2	5	2	3	24	1	96	US
2	2	2	5	2	4	2	4	4	1	2	3	2	3	3	3	3	2	4	4	4	1	26	1	82	US
4	2	4	1	1	2	4	4	3	3	1	1	1	2	4	4	4	2	2	5	3	2	19	2	53	US
2	4	2	2	5	4	4	4	3	2	3	5	5	2	5	3	5	2	2	5	2	3	43	1	99	IN
4	2	4	4	3	5	2	4	5	4	2	2	5	2	4	4	3	3	2	4	2	2	34	1	48	US
3	5	5	2	1	5	5	4	2	2	0	4	5	5	3	1	1	2	3	2	4	2	25	1	36	AU
4	1	2	4	1	4	1	2	1	2	1	3	4	4	4	1	1	1	4	2	1	1	13	3	88	AU
2	3	1	4	2	3	4	3	5	1	3	1	0	3	3	2	3	4	1	4	4	2	19	1	89	US
3	4	3	4	5	3	5	4	5	2	5	5	5	4	4	4	4	1	4	5	5	4	14	2	94	US
4	4	1	2	5	5	4	2	4	3	2	2	4	4	4	4	2	4	2	1	5	2	25	1	72	US
2	1	1	2	2	5	1	4	4	4	2	2	1	2	5	3	5	3	4	5	4	5	21	1	95	US
4	1	1	3	2	5	2	5	4	2	2	4	1	5	2	2	2	2	3	3	1	2	25	1	83	US
2	5	4	3	1	5	4	5	5	3	5	4	4	5	2	3	1	2	4	4	4	4	13	1	79	BR
5	2	2	4	5	4	4	5	3	3	3	3	4	5	5	5	5	4	4	4	5	5	34	1	80	GB
4	3	4	5	2	4	4	1	3	1	2	5	2	5	5	3	2	2	4	5	3	2	13	2	68	US
4	4	5	1	4	3	3	2	5	4	1	5	4	5	5	4	5	1	3	3	1	2	18	2	93	US
4	3	4	2	2	3	4	2	4	2	2	2	4	5	1	1	2	2	1	1	1	1	32	2	93	US
4	2	2	3	4	3	5	3	5	2	1	2	1	5	4	5	3	2	4	4	2	5	23	1	79	GB
4	1	5	4	5	5	4	2	2	2	4	1	4	3	5	3	4	3	4	5	2	3	23	2	70	SE
2	4	4	4	3	5	4	3	5	4	1	2	3	4	4	4	3	4	2	4	4	2	26	1	91	US
2	4	1	2	2	4	2	5	2	2	1	1	4	4	4	2	2	3	2	4	2	1	17	1	90	US
4	4	4	4	2	5	4	5	3	4	5	2	2	4	5	5	5	3	1	4	4	2	21	2	79	US
4	5	0	4	5	4	4	2	4	0	2	3	4	5	5	5	4	4	5	5	4	3	17	1	91	US
3	2	3	5	4	4	4	4	4	2	2	4	2	2	4	2	2	1	5	5	3	4	36	1	74	US
3	2	3	2	1	5	2	3	2	2	2	2	3	4	2	1	0	2	2	4	4	2	31	1	93	US
5	3	2	4	5	5	2	5	3	4	2	1	3	3	3	2	2	2	4	5	4	3	30	1	93	AU
1	1	1	1	2	4	1	1	1	1	2	2	2	3	4	1	5	1	4	4	4	3	35	2	81	CA
5	4	5	3	5	3	4	5	4	4	3	4	5	2	5	4	5	4	5	4	3	4	28	1	88	US
2	2	4	3	3	4	4	3	4	2	4	2	2	5	4	3	2	1	4	4	4	4	32	1	65	US
4	4	2	1	3	4	4	2	4	1	1	1	1	5	3	4	3	2	4	4	2	1	38	2	68	US
5	3	1	2	2	5	2	4	4	4	3	2	1	5	5	5	4	5	3	5	4	4	22	1	89	US
2	4	5	2	4	4	3	4	5	4	1	2	1	1	4	3	4	1	1	4	4	1	37	1	51	US
4	4	3	0	3	4	3	4	2	5	2	5	2	5	5	4	2	2	2	5	5	1	24	2	87	US
4	2	2	4	5	5	4	1	1	2	1	1	3	1	4	4	2	3	2	4	3	5	14	1	79	CA
5	4	5	3	4	5	5	5	4	2	5	4	5	4	4	0	3	2	4	5	4	4	13	2	68	US
4	2	3	4	2	4	4	5	4	2	4	2	2	4	5	5	4	4	3	4	2	1	16	1	69	AU
4	4	4	3	5	4	4	5	5	5	5	4	0	2	5	5	5	4	5	5	5	4	13	1	77	US
5	3	5	5	5	5	4	2	4	4	1	1	1	2	5	3	5	3	1	2	5	4	32	1	82	CA
4	4	4	1	3	5	3	4	4	2	2	2	1	5	3	2	3	2	2	4	4	1	15	1	67	PL
5	4	4	4	2	4	4	4	5	1	2	4	1	4	2	3	3	2	4	4	4	4	19	1	70	US
5	4	4	2	4	5	4	4	5	5	2	0	2	5	5	4	4	3	4	4	1	4	26	1	91	GB
5	5	5	4	4	5	4	4	5	2	2	2	2	5	5	5	4	2	4	5	4	2	13	1	49	US
2	1	2	5	5	3	2	2	2	1	1	1	3	3	3	1	3	2	2	4	3	2	21	1	92	US
4	4	5	1	3	5	2	2	4	2	4	1	4	0	4	2	5	2	3	4	5	2	17	1	76	PL
3	3	2	2	4	4	4	4	4	1	5	5	5	3	4	3	4	1	2	3	2	3	29	2	97	US
3	0	2	3	1	4	2	4	2	3	2	1	3	3	2	2	2	1	3	4	2	2	19	2	61	US
4	1	4	2	3	3	2	3	5	1	1	2	3	4	2	1	1	1	2	2	5	1	28	1	68	US
4	1	1	4	5	5	2	4	2	2	5	3	4	4	4	2	2	1	5	5	2	3	19	2	76	US
3	4	5	2	5	5	5	4	5	3	3	4	4	5	4	3	4	4	1	2	3	3	35	1	94	US
5	4	4	1	2	4	4	4	5	3	2	1	4	5	3	2	2	2	3	4	2	0	17	2	95	US
1	3	4	4	4	4	4	4	2	2	2	4	3	4	4	2	2	3	4	5	5	4	27	1	70	US
2	2	3	0	2	4	4	5	3	4	2	2	4	2	3	3	2	1	4	5	5	3	31	1	90	US
5	3	2	5	5	2	4	2	4	2	3	1	4	4	5	0	2	2	2	5	3	2	16	1	70	GB
4	3	2	4	5	0	3	3	4	4	4	4	4	4	2	4	0	3	3	4	5	2	32	2	77	US
4	4	4	4	4	4	5	4	5	2	3	2	5	4	4	4	5	4	5	4	4	4	35	2	92	US
4	2	4	3	4	4	1	2	4	1	2	4	2	2	3	2	1	4	1	4	2	2	20	1	98	US
4	0	1	1	2	3	4	3	1	1	4	5	4	5	4	3	4	4	0	4	2	3	24	1	67	US
2	2	4	3	5	5	4	3	5	1	5	5	4	5	4	3	2	2	4	5	5	4	24	1	96	US
3	2	4	5	5	5	4	4	5	1	4	3	4	5	5	3	4	2	5	5	4	2	30	2	85	US
4	1	2	3	2	5	3	3	2	1	2	1	4	2	4	3	4	3	1	2	2	1	14	1	83	US
5	0	5	3	2	5	4	4	4	2	2	1	3	4	1	1	3	4	1	4	4	1	23	1	75	PL
4	5	5	4	1	2	4	3	5	4	5	5	4	5	5	0	4	4	4	5	2	3	23	1	90	US
1	1	2	2	2	4	3	1	4	1	2	2	2	2	3	1	2	2	1	3	4	1	19	1	62	DE
2	4	2	1	4	3	2	3	3	3	2	3	2	5	4	2	3	2	1	4	3	2	13	1	81	GB
4	4	2	1	3	4	4	3	4	1	1	1	1	1	4	3	1	2	1	2	2	1	27	1	83	US
4	4	4	4	4	2	3	4	4	2	1	2	1	4	5	4	3	4	1	4	3	2	31	1	92	US
5	4	4	1	3	4	2	1	5	2	2	2	3	4	5	4	5	4	4	4	1	3	23	1	46	US
2	3	3	3	2	5	1	3	1	1	1	1	1	4	1	1	1	2	4	4	4	1	14	2	96	CA
2	1	1	4	4	4	1	1	2	4	1	2	2	3	4	4	4	3	3	5	5	2	28	1	65	US
4	2	4	3	4	4	2	3	4	2	1	2	3	2	5	4	5	4	0	4	2	3	14	2	96	US
2	4	5	3	2	5	2	2	3	2	4	5	4	4	4	2	3	2	2	4	4	4	21	3	96	GB
3	2	3	1	2	4	3	2	4	4	2	2	2	4	4	3	3	2	2	4	4	3	19	1	93	US
3	2	0	1	2	3	2	3	3	1	2	2	4	3	5	4	3	2	1	3	2	2	18	2	69	CA
3	5	4	2	4	5	4	5	5	4	1	2	3	1	4	5	5	4	4	2	5	3	21	2	82	US
3	3	3	2	5	3	5	4	5	4	4	3	3	5	4	3	3	1	1	5	3	3	35	1	100	US
4	1	2	1	4	5	2	4	5	2	2	3	3	5	4	3	5	2	2	4	4	3	27	1	76	AU
