case_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10
case_1	4	3	5	4	4	5	3	4	4	5
case_1	4	2	3	2	3	4	4	3	5	4
case_1	5	4	3	1	4	4	4	5	5	5
case_1	5	2	1	3	4	5	4	5	2	2
case_1	4	2	4	2	4	2	4	4	4	2
case_1	2	4	2	2	4	5	4	3	3	2
case_1	2	2	4	2	1	2	4	2	5	1
case_1	5	4	5	5	5	5	4	5	5	4
case_1	4	4	5	4	5	5	4	5	4	5
case_1	4	4	4	4	2	5	3	4	5	4
case_1	5	1	5	5	5	4	5	5	5	5
case_1	5	1	3	5	5	5	2	5	3	4
case_1	2	3	2	4	2	2	3	1	2	2
case_1	5	5	5	3	5	5	5	4	5	4
case_1	3	2	4	2	2	3	4	2	2	2
case_1	2	4	3	1	4	3	4	1	4	2
case_1	3	4	3	2	5	5	1	4	5	4
case_1	5	4	4	2	3	5	4	4	3	4
case_1	4	2	2	1	3	2	2	4	2	3
case_1	3	1	4	3	3	2	4	4	5	2
case_1	2	5	5	4	4	5	5	4	4	2
case_1	5	2	4	4	5	5	4	4	4	5
case_1	4	3	4	3	1	5	4	2	5	2
case_1	2	2	4	1	4	5	1	3	4	1
case_1	3	1	4	3	4	4	2	4	2	4
case_1	4	5	5	2	2	3	5	1	5	1
case_1	4	4	3	2	2	3	3	2	3	4
case_1	5	1	4	2	2	2	4	2	3	1
case_1	5	4	4	5	5	5	4	5	4	3
case_1	4	1	1	5	4	4	4	4	3	2
case_1	3	5	5	4	2	3	5	4	5	4
case_1	4	1	2	1	1	4	2	2	2	1
case_1	4	5	4	3	1	4	4	1	4	2
case_1	2	4	2	5	4	4	4	5	3	3
case_1	5	4	4	3	4	4	4	1	2	2
case_1	5	1	1	4	3	5	1	2	2	2
case_1	4	1	4	2	1	2	2	1	4	1
case_1	3	3	5	1	2	4	4	2	4	4
case_1	5	4	2	3	4	5	5	4	3	3
case_1	5	3	4	5	5	5	1	2	5	2
case_1	4	2	2	4	4	5	2	5	4	2
case_1	4	5	2	4	4	4	2	3	1	4
case_1	3	2	4	2	2	4	2	2	3	2
case_1	4	4	2	2	1	5	2	3	4	4
case_1	5	4	2	4	4	5	4	5	5	3
case_1	2	2	3	1	3	3	3	4	4	1
case_1	4	2	5	4	3	2	4	1	3	1
case_1	3	1	1	3	4	5	4	4	3	3
case_1	5	2	5	5	4	5	2	4	2	5
case_1	2	1	3	2	4	5	3	4	2	2
case_1	3	4	4	3	2	4	2	4	5	2
case_1	3	5	5	2	3	4	5	5	5	5
case_1	5	1	3	5	5	4	2	5	3	5
case_1	2	1	1	2	4	4	3	4	4	1
case_1	4	1	1	2	1	5	2	3	4	3
case_1	2	1	1	2	2	3	3	4	4	1
case_1	5	2	5	2	5	5	2	5	3	2
case_1	5	2	5	5	4	4	2	5	4	4
case_1	5	4	4	1	3	5	4	5	3	2
case_1	3	3	4	4	4	4	5	2	4	3
case_1	4	4	4	5	4	3	2	4	4	2
case_1	3	2	2	4	1	4	4	2	5	2
case_1	5	4	3	2	2	5	2	4	4	4
case_1	1	1	4	1	2	3	4	1	5	1
case_1	4	4	4	2	4	5	2	3	5	5
case_1	4	4	4	1	2	4	3	1	2	3
case_1	4	3	4	3	4	5	5	3	4	2
case_1	4	5	4	1	5	4	5	4	4	4
case_1	5	4	4	5	5	5	5	4	4	4
case_1	5	3	3	2	2	3	2	2	1	2
case_1	5	4	5	1	3	5	5	4	5	5
case_1	4	4	4	4	5	4	5	4	3	3
case_1	3	4	3	3	2	5	2	1	4	3
case_1	4	2	2	1	3	3	4	5	2	2
case_1	4	2	3	3	4	5	2	5	3	3
case_1	4	2	3	2	5	5	1	4	1	5
case_1	3	4	5	1	2	4	3	3	2	2
case_1	1	2	2	2	4	5	3	2	4	3
case_1	2	2	2	3	1	3	4	2	3	3
case_1	5	5	5	5	5	5	5	5	5	5
case_2	5	5	4	4	5	5	5	4	5	2
case_2	4	1	2	5	5	5	3	5	4	3
case_2	4	4	2	3	2	2	2	2	2	1
case_2	5	2	4	2	2	5	4	3	4	2
case_2	4	3	4	3	4	4	5	2	5	3
case_2	1	2	2	4	2	4	2	1	2	2
case_2	5	3	2	5	5	4	2	4	4	2
case_2	1	3	2	2	4	4	3	3	2	2
case_2	5	4	4	5	3	5	4	5	5	4
case_2	5	5	4	5	5	5	5	5	5	5
case_2	3	3	1	3	2	3	4	2	1	2
case_2	3	1	2	5	2	5	3	4	2	1
case_2	3	4	2	5	3	4	1	5	5	2
case_2	3	2	1	2	3	4	1	1	1	2
case_2	4	4	4	3	3	5	2	3	5	3
case_2	5	4	4	4	2	5	2	2	2	2
case_2	4	5	5	4	4	5	5	4	5	4
case_2	5	1	4	5	5	5	1	4	2	5
case_2	4	2	2	4	2	2	4	3	4	2
case_2	5	2	4	3	5	5	5	4	4	2
case_2	5	3	4	3	4	3	4	4	4	5
case_2	4	3	5	2	4	4	4	4	5	1
case_2	4	4	5	3	4	4	5	4	5	2
case_2	3	1	2	2	3	2	2	1	2	1
case_2	5	4	4	2	2	2	4	3	4	1
case_2	4	5	1	1	4	5	3	2	3	1
case_2	5	3	4	4	4	4	4	5	5	2
case_2	5	2	4	4	5	5	4	5	4	5
case_2	4	5	4	3	2	4	4	3	5	1
case_2	5	3	4	2	4	2	2	2	4	1
case_2	4	2	3	1	2	4	4	3	4	3
case_2	5	3	4	5	5	5	4	4	5	5
case_2	2	4	2	2	1	3	4	2	5	2
case_2	4	5	4	4	4	4	4	5	5	4
case_2	5	2	1	2	2	4	1	2	2	4
case_2	5	4	3	5	4	4	3	5	3	3
case_2	5	2	4	3	4	4	2	4	4	5
case_2	3	1	1	2	4	3	2	3	1	3
case_2	2	2	3	4	2	2	2	2	2	1
case_2	4	5	4	4	4	5	4	4	4	3
case_2	4	1	1	2	4	4	1	4	1	4
case_2	4	5	3	2	3	4	4	3	5	2
case_2	5	2	3	3	2	5	4	4	3	2
case_2	4	5	5	4	4	4	2	4	5	2
case_2	4	4	4	3	2	5	5	4	5	1
case_2	4	1	3	1	3	4	1	2	4	4
case_2	5	1	4	1	2	4	4	4	3	2
case_2	4	5	4	2	4	3	2	3	4	2
case_2	4	4	3	5	3	5	4	5	4	2
case_2	4	2	4	2	3	4	4	4	4	2
case_2	4	4	4	2	4	4	3	4	5	2
case_2	5	2	5	4	3	5	5	4	5	5
case_2	5	5	5	4	5	5	4	4	5	4
case_2	4	3	5	1	4	4	4	2	4	3
case_2	1	1	3	3	2	4	2	4	4	1
case_2	4	3	5	4	5	5	2	4	4	5
case_2	3	3	4	1	2	5	4	2	5	1
case_2	2	4	5	2	4	4	5	2	4	1
case_2	5	4	2	4	3	4	3	2	4	2
case_2	5	2	4	5	4	5	5	5	4	5
case_2	4	1	2	2	1	4	1	2	4	2
case_2	5	1	2	1	4	4	1	2	2	1
case_2	4	4	2	4	5	5	5	5	4	1
case_2	5	3	3	2	4	4	2	3	4	3
case_2	5	1	2	4	3	2	1	4	3	3
case_2	4	2	5	4	4	5	3	2	4	2
case_2	4	4	4	4	4	5	5	4	5	3
case_2	5	1	2	3	4	3	4	4	4	3
case_2	4	1	2	4	1	4	1	2	5	1
case_2	5	2	5	2	3	4	5	5	5	5
case_2	3	2	2	2	2	3	4	4	4	4
case_2	3	1	3	2	1	4	4	1	4	1
case_2	5	2	1	5	5	4	2	4	4	3
case_2	4	2	4	3	5	4	2	2	4	3
case_2	5	4	5	5	5	5	5	5	4	2
case_2	1	2	2	1	2	2	3	1	2	1
case_2	2	1	1	3	2	3	2	2	1	1
case_2	2	3	5	4	3	5	5	4	5	2
case_2	3	3	4	1	3	4	2	3	5	2
case_2	4	3	4	4	4	5	4	2	5	4
case_2	5	5	5	2	2	4	4	4	4	3
case_2	4	3	4	4	2	4	4	4	4	1
case_2	3	5	5	3	4	4	5	4	5	2
case_2	3	2	1	5	3	4	2	4	2	2
case_2	4	3	4	3	5	5	4	5	4	4
case_2	2	2	1	4	2	2	2	2	2	1
case_2	5	2	4	5	4	4	4	4	5	4
case_2	4	1	1	2	2	3	2	2	3	2
case_2	1	5	2	1	4	4	5	2	5	4
case_2	5	3	3	2	2	3	4	2	4	3
case_2	5	4	3	3	5	5	4	4	5	1
case_2	4	1	4	3	3	4	2	2	5	2
case_2	5	5	4	4	3	5	4	4	5	5
case_2	5	4	3	4	4	5	3	5	2	5
case_2	5	5	5	2	2	4	4	1	4	1
case_2	5	3	4	4	4	4	5	5	5	5
case_2	5	4	5	4	5	4	5	4	5	5
case_2	4	3	4	3	1	4	4	3	5	3
case_2	4	4	2	2	4	5	4	2	5	2
case_2	2	3	4	2	2	5	4	4	4	1
case_2	5	4	1	5	5	5	1	5	2	5
case_2	4	2	4	3	2	3	5	4	4	2
case_2	4	4	3	3	5	5	4	1	5	1
case_2	4	3	3	3	4	5	3	4	3	2
case_2	5	5	5	3	4	4	2	5	5	4
case_2	5	5	4	2	4	3	4	2	4	2
case_2	5	5	5	2	5	4	5	4	5	5
case_2	1	2	4	1	1	4	4	1	2	1
case_2	5	5	5	4	4	5	4	3	5	5
case_2	4	5	5	5	4	4	5	3	5	2
case_2	4	5	5	5	3	3	5	4	5	3
case_2	5	3	4	2	2	4	4	5	4	4
case_2	5	5	3	5	4	5	4	5	4	4
case_2	5	1	4	4	4	3	2	2	4	2
case_2	5	2	1	3	4	4	4	5	1	3
case_2	5	4	5	5	5	5	3	5	4	5
case_2	3	1	4	4	2	4	4	5	3	1
case_2	2	3	4	3	4	5	4	2	3	2
case_2	5	1	2	4	4	5	4	5	3	4
case_2	3	4	4	1	1	3	3	1	2	1
case_2	5	3	3	5	5	5	1	5	3	4
case_2	5	1	2	4	5	5	4	4	5	5
case_2	4	1	4	3	5	4	4	5	4	1
case_2	4	4	5	4	4	5	3	5	5	2
case_2	5	1	1	2	2	4	2	4	2	3
case_2	4	5	5	2	3	2	4	3	4	4
case_2	4	5	4	4	4	5	5	3	5	2
case_2	2	5	2	1	2	4	4	4	4	1
case_2	5	4	3	5	4	4	4	2	2	5
case_2	5	5	4	3	2	4	5	4	5	3
case_2	5	4	2	3	4	4	2	3	2	3
case_2	4	5	4	3	2	4	4	4	3	2
case_2	4	4	2	4	4	5	5	4	4	3
case_2	5	4	5	4	2	5	5	5	5	5
case_2	4	2	4	4	2	4	5	4	4	1
case_2	4	1	3	3	4	4	4	4	2	4
case_2	1	3	4	2	3	4	4	4	4	2
case_2	5	3	2	2	4	4	5	3	4	4
case_2	3	3	2	1	2	5	1	3	2	2
case_2	3	3	2	3	2	4	1	4	4	4
case_2	5	4	4	3	4	5	3	2	4	4
case_2	5	2	4	5	5	5	4	5	4	4
case_2	4	3	1	2	2	3	5	1	4	2
case_2	5	2	2	2	4	5	3	5	1	3
case_2	5	4	4	3	4	4	4	2	3	2
case_2	4	1	1	2	4	5	4	4	4	2
case_2	5	2	1	5	5	5	3	4	4	4
case_2	5	2	5	4	5	5	3	5	4	5
case_2	5	3	4	2	4	5	4	4	4	5
case_2	5	3	1	4	5	4	4	5	4	5
case_2	5	2	5	3	5	5	4	5	5	5
case_2	4	5	4	4	1	4	4	3	4	2
case_2	2	1	1	1	4	3	2	2	2	1
case_2	4	3	4	2	2	4	4	4	4	4
case_2	5	4	4	5	4	5	5	4	4	4
case_2	4	2	3	1	1	2	1	2	3	1
case_2	4	5	3	3	5	5	4	4	4	5
case_2	5	4	2	2	3	4	5	2	5	3
case_2	4	2	3	4	4	4	4	1	4	1
case_2	5	4	4	5	3	5	4	4	5	4
case_2	5	4	4	4	3	5	3	4	4	2
case_2	4	4	3	2	4	4	4	5	2	2
case_2	4	5	5	2	3	4	5	3	4	2
case_2	5	5	4	2	1	4	3	4	4	2
case_2	2	2	4	1	1	2	3	1	4	1
case_2	4	3	5	3	2	5	4	4	5	5
case_2	5	1	2	3	4	4	5	3	1	4
case_2	5	1	2	4	5	5	2	5	4	5
case_2	4	4	4	2	3	4	5	2	4	2
case_2	4	4	5	4	2	4	5	5	4	1
case_2	5	1	2	3	2	4	3	2	4	2
case_2	3	5	5	1	2	2	5	2	5	1
case_2	4	4	1	2	4	5	5	4	4	2
case_2	2	5	4	4	1	3	4	1	4	1
case_2	4	1	5	3	3	5	1	2	3	2
case_2	3	5	2	4	5	5	4	4	4	2
case_2	2	5	3	1	1	5	5	2	5	1
case_2	5	1	3	2	4	5	4	2	2	2
case_2	3	4	3	1	3	2	4	1	5	3
case_2	2	5	4	2	2	4	3	2	5	2
case_2	5	4	5	5	4	4	5	4	4	3
case_2	2	4	4	2	2	1	5	2	5	1
case_2	4	1	4	2	1	4	4	2	3	1
case_2	4	3	4	5	4	4	4	3	2	1
case_2	3	1	3	3	5	4	3	2	4	4
case_2	3	3	4	2	5	4	2	5	3	3
case_2	4	3	5	3	5	5	5	4	3	2
case_2	2	3	4	4	2	4	5	1	3	1
case_2	5	4	3	4	3	4	4	4	4	2
case_2	5	3	4	4	3	4	4	4	2	2
case_2	2	2	2	2	4	4	1	2	2	2
case_2	2	3	4	2	4	5	4	4	4	3
case_2	4	2	5	3	5	4	5	4	3	3
case_2	5	1	5	5	4	3	4	3	3	4
case_2	2	1	1	2	2	4	1	3	2	1
case_2	4	5	5	3	3	4	4	2	2	5
case_2	4	4	4	4	5	4	4	4	4	2
case_2	4	4	4	2	4	4	3	3	4	4
case_2	4	4	1	3	4	4	2	2	4	1
case_2	4	3	4	2	3	5	4	2	4	2
case_2	5	1	2	4	4	4	2	5	3	4
case_2	4	1	3	1	4	3	1	5	4	2
case_2	4	1	2	3	2	5	2	2	2	4
case_2	4	2	1	2	1	4	1	1	1	1
case_2	3	4	2	4	4	4	4	2	5	2
case_2	4	4	4	5	5	4	5	4	4	4
case_2	4	3	4	3	2	5	3	3	5	3
case_2	5	4	5	4	3	4	5	4	5	3
case_2	4	4	3	1	1	2	3	2	5	1
case_2	3	2	3	2	3	4	3	4	4	3
case_2	5	5	4	5	4	4	5	4	4	5
case_2	5	2	4	5	3	5	4	5	4	5
case_2	5	1	4	4	4	5	2	4	5	4
case_2	4	2	4	3	3	4	4	4	5	1
case_2	4	1	1	2	1	4	2	2	2	2
case_2	5	4	2	2	2	2	2	2	1	2
case_2	4	2	1	4	2	5	3	1	3	4
case_2	3	2	1	1	3	4	2	4	4	1
case_2	5	3	2	3	3	5	2	5	4	3
case_2	1	2	2	2	2	2	2	1	4	1
case_2	5	2	2	5	4	5	4	3	5	5
case_2	5	1	1	4	4	5	2	5	2	3
case_2	5	5	4	2	4	5	4	3	5	5
case_2	2	4	3	2	1	4	5	2	4	2
case_2	4	4	5	2	4	4	5	4	4	2
case_2	5	5	5	2	4	3	4	4	5	1
case_2	5	4	5	4	5	4	3	3	4	3
case_2	2	4	5	1	4	3	1	1	3	5
case_2	4	5	5	4	3	3	5	3	5	3
case_2	4	5	5	3	4	4	4	4	5	3
case_2	4	4	4	3	5	4	5	5	4	1
case_2	4	3	2	2	4	5	4	4	4	3
case_2	4	3	4	2	2	3	2	2	5	1
case_2	2	5	4	4	5	4	2	4	3	4
case_2	4	2	2	4	5	2	3	1	4	2
case_2	5	4	4	3	2	5	3	4	2	5
case_2	4	1	1	3	2	4	1	3	2	3
case_2	5	4	3	4	3	5	4	4	5	5
case_2	5	2	2	3	5	5	2	4	4	2
case_2	1	4	3	1	1	2	4	2	4	1
case_2	3	5	5	5	3	5	4	3	5	3
case_2	5	3	4	4	5	4	4	4	4	3
case_2	4	4	3	1	2	4	3	2	4	2
case_2	4	4	5	4	5	5	5	5	5	4
case_2	1	1	5	3	2	4	2	1	4	2
case_2	1	2	1	2	2	4	2	4	4	3
case_2	1	1	4	1	1	2	4	2	4	1
case_2	5	3	4	5	4	5	4	4	5	5
case_2	4	3	2	3	5	5	3	5	5	4
case_2	3	3	4	2	1	5	4	3	3	3
case_2	2	2	5	4	2	3	2	1	4	2
case_2	4	1	3	5	5	5	1	4	3	4
case_2	5	4	2	1	4	3	3	2	4	1
case_2	2	4	2	1	2	3	2	2	2	3
case_2	3	5	4	3	2	3	4	2	4	2
case_2	3	2	2	4	3	4	3	2	2	3
case_2	5	3	4	2	3	5	4	2	3	3
case_2	5	5	3	2	4	5	4	2	5	3
case_2	3	3	3	1	2	3	4	2	5	1
case_2	4	4	5	3	4	5	5	2	5	1
case_2	5	5	5	4	5	5	4	4	5	4
case_2	4	5	4	3	3	5	4	5	2	2
case_2	4	1	2	4	5	5	3	5	2	3
case_2	4	2	3	2	4	5	2	5	4	2
case_2	2	4	5	2	4	4	4	1	4	1
case_2	4	5	4	4	2	4	5	2	5	1
case_2	4	4	2	2	2	4	3	1	4	2
case_2	5	4	3	2	4	4	3	3	3	5
case_2	4	2	3	2	1	3	3	2	1	3
case_2	5	1	1	4	5	5	3	4	4	2
case_2	5	4	4	5	4	5	4	4	4	4
case_2	4	5	4	5	3	4	4	2	5	3
case_2	3	5	3	3	4	4	4	4	4	5
case_2	1	4	2	1	2	2	3	2	4	1
case_2	2	1	3	1	4	4	4	2	5	1
case_2	5	4	4	3	5	5	4	4	3	5
case_2	4	4	3	2	3	3	4	5	5	1
case_2	5	4	5	2	3	5	4	5	4	4
