participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	age	gender	accuracy	country
P00134	4	4	5	3	3	4	4	4	4	3	37	1	99	US
P00135	3	2	2	4	2	4	2	1	1	1	25	1	73	US
P00136	4	5	3	2	2	4	4	2	5	1	20	1	72	US
P00137	4	2	2	3	5	5	4	3	4	3	23	1	93	US
P00138	1	4	5	4	4	5	2	2	3	1	38	1	76	US
P00139	2	4	3	2	3	4	4	1	5	1	57	1	77	US
P00140	5	5	4	4	0	3	5	4	4	3	43	1	91	US
P00141	2	2	4	2	4	3	4	4	4	2	30	1	79	US
P00142	0	2	4	2	3	4	3	3	2	2	29	1	81	US
P00143	4	4	4	5	5	5	4	5	5	5	37	1	64	US
P00144	4	1	4	3	3	4	3	3	2	1	31	1	84	US
P00145	5	2	2	4	5	4	3	5	5	4	42	1	99	US
P00146	5	4	3	5	5	5	3	4	4	5	46	1	78	US
P00147	4	5	2	5	4	5	4	4	5	5	23	1	87	US
P00148	4	4	4	4	4	4	5	4	5	2	35	1	92	US
P00149	5	4	1	4	0	4	4	2	5	3	21	1	90	US
P00150	4	3	5	3	5	1	4	2	3	2	34	1	55	US
P00151	3	2	2	2	2	4	3	5	4	2	30	1	88	US
P00152	3	1	2	2	3	4	4	5	4	2	40	1	86	US
P00153	2	5	3	2	2	5	4	1	5	2	32	1	92	US
P00154	3	4	4	2	3	4	0	4	5	3	28	1	96	US
P00155	1	2	4	2	2	1	1	1	4	1	56	1	95	US
P00156	5	2	1	4	4	4	2	4	2	2	41	1	85	US
P00157	3	3	3	4	3	3	3	2	4	3	33	1	90	US
P00158	3	1	4	4	5	4	4	5	4	5	42	1	89	US
P00159	3	4	2	2	4	5	2	4	2	1	30	1	94	US
P00160	4	2	4	2	4	5	4	5	5	5	18	1	75	US
P00161	5	2	3	3	2	4	4	3	4	2	37	1	97	US
P00162	4	5	2	4	4	2	4	5	3	3	48	1	89	US
P00163	3	1	1	3	4	3	4	1	5	1	31	1	91	US
P00164	2	3	2	1	2	3	4	1	4	2	37	1	77	US
P00165	4	1	1	3	2	4	5	1	4	1	26	1	92	US
P00166	4	5	2	4	4	5	5	5	4	4	43	1	93	US
P00167	5	5	5	4	5	4	4	4	5	5	31	1	95	US
P00168	3	3	2	2	3	5	2	4	3	2	28	1	79	US
P00169	5	4	3	3	2	3	4	2	5	4	36	1	90	US
P00170	4	2	5	2	4	4	4	5	4	1	18	1	97	US
P00171	1	1	2	2	5	4	3	3	2	2	20	1	99	US
P00172	5	5	5	2	5	5	4	5	5	4	39	1	99	US
P00173	5	3	5	4	5	5	4	5	4	5	31	1	67	US
P00174	4	5	4	4	4	3	4	2	5	2	42	1	88	US
P00175	5	2	4	2	4	5	3	5	4	3	48	1	94	US
P00176	5	4	4	4	3	5	4	5	5	2	24	1	96	US
P00177	5	4	5	2	2	4	4	4	4	2	39	1	98	US
P00178	5	4	5	1	4	5	4	4	2	3	37	1	89	US
P00179	5	2	2	2	2	5	4	5	3	2	30	1	78	US
P00180	4	2	4	2	3	3	2	1	3	1	44	1	79	US
P00181	3	5	4	2	5	4	5	5	5	3	18	1	95	US
P00182	3	1	4	2	5	4	4	4	4	3	31	1	60	US
P00183	3	4	5	5	2	5	4	4	4	1	50	1	96	US
P00184	5	3	2	3	4	5	3	5	5	1	25	1	93	US
P00185	5	3	4	2	4	5	2	2	4	2	20	1	91	US
P00186	4	4	3	1	3	5	5	2	3	3	34	1	96	US
P00187	2	4	4	3	3	5	4	3	3	1	37	1	67	US
P00188	3	4	5	2	3	4	3	2	4	2	28	1	98	US
P00189	4	2	4	2	3	2	3	2	2	2	40	1	87	US
P00190	3	2	3	2	4	2	2	2	3	1	34	1	93	US
P00191	2	0	3	2	1	4	4	4	4	1	32	1	90	US
P00192	3	3	5	2	3	4	3	4	4	1	35	1	93	US
P00193	4	1	4	3	4	5	4	4	5	3	30	1	76	US
P00194	2	4	2	2	4	2	4	2	4	1	61	1	89	US
P00195	3	2	5	5	2	4	2	2	2	1	45	1	91	US
P00196	5	1	2	4	3	3	2	2	4	1	47	1	69	US
P00197	5	5	4	2	4	5	4	5	2	3	39	1	74	US
P00198	3	2	5	1	1	4	2	2	4	1	18	1	95	US
P00199	3	2	4	3	4	3	3	4	4	4	31	1	93	US
P00200	2	4	4	3	1	4	5	1	5	1	27	1	79	US
P00201	4	3	4	2	2	3	4	2	4	2	51	1	94	US
P00202	4	4	3	1	3	4	5	5	3	4	32	1	93	US
P00203	2	5	4	3	4	3	5	4	5	2	23	1	50	US
P00204	4	4	5	2	3	5	5	2	5	3	41	1	74	US
P00205	2	1	3	2	2	3	2	1	4	1	54	1	72	US
P00206	3	3	4	2	5	4	1	5	4	5	43	1	98	US
P00207	3	5	4	2	2	5	5	5	5	5	49	1	68	US
P00208	0	4	4	4	3	4	5	4	5	4	35	1	93	US
P00209	5	5	4	2	3	5	5	5	5	3	36	1	83	US
P00210	3	4	4	3	3	3	3	4	4	1	18	1	79	US
P00211	4	5	5	3	4	5	5	4	4	2	45	1	85	US
P00212	5	2	4	4	4	3	2	5	3	5	18	1	88	US
P00213	4	2	5	3	3	3	4	3	2	2	22	1	79	US
P00214	4	2	3	4	2	4	5	2	2	2	40	1	92	US
P00215	5	2	3	2	4	3	2	4	3	3	30	1	80	US
P00216	5	1	2	2	1	3	2	4	4	1	18	1	89	US
P00217	5	2	2	3	5	4	2	3	5	2	73	1	87	US
P00218	5	1	3	2	3	2	3	2	4	2	37	1	90	US
P00219	4	3	2	1	3	4	2	2	2	1	48	1	96	US
P00220	1	3	3	2	2	2	0	1	4	1	59	1	85	US
P00221	4	3	2	2	3	5	4	2	4	5	42	1	57	US
P00222	5	2	2	1	1	4	4	4	5	1	40	1	92	US
P00223	5	1	1	2	4	5	1	1	3	2	24	1	90	US
P00224	4	1	2	1	2	5	0	2	5	1	32	1	82	US
P00225	3	2	4	3	4	5	2	4	2	3	33	1	83	US
P00226	1	4	4	2	2	4	3	2	5	2	38	1	98	US
P00227	4	2	4	2	4	3	4	4	4	4	33	1	85	US
P00228	3	2	4	1	1	4	4	2	4	1	38	1	84	US
P00229	4	4	4	4	4	4	5	3	4	2	25	1	91	US
P00230	3	2	4	2	3	5	4	4	3	2	32	1	87	US
P00231	5	2	4	1	3	4	2	4	3	1	57	1	99	US
P00232	5	1	3	2	4	3	3	1	1	3	40	1	93	US
P00233	4	3	4	5	5	5	4	5	2	4	31	1	87	US
P00234	4	4	2	5	5	5	4	4	4	3	40	1	87	US
P00235	2	1	1	5	2	3	1	2	5	0	58	1	77	US
P00236	1	1	1	3	3	3	2	3	2	3	34	1	96	US
P00237	3	4	2	3	4	4	4	2	2	3	34	1	90	US
P00238	4	5	2	2	1	4	4	2	2	1	38	1	84	US
P00239	5	3	4	2	5	4	3	4	5	2	18	1	72	US
P00240	5	5	3	2	4	5	3	4	4	3	42	1	77	US
P00241	5	4	5	4	5	5	0	0	4	5	19	1	84	US
P00242	4	5	4	3	4	5	5	4	5	4	35	1	57	US
P00243	4	1	5	3	2	4	3	2	3	4	23	1	93	US
P00244	4	4	2	5	4	5	4	5	4	3	28	1	81	US
P00245	4	2	4	1	4	0	4	3	5	3	33	1	88	US
P00246	4	4	4	5	5	4	5	3	4	2	37	1	75	US
P00247	5	3	2	2	4	5	4	4	4	3	35	1	74	US
P00248	4	3	5	1	3	5	4	4	5	4	31	1	86	US
P00249	1	1	4	3	3	4	2	1	2	2	33	1	90	US
P00250	2	4	5	3	2	5	4	2	3	4	18	1	90	US
P00251	5	2	3	4	4	4	2	3	4	1	35	1	97	US
P00252	4	4	5	4	4	4	4	4	5	5	47	1	91	US
P00253	4	2	5	2	2	2	1	2	2	2	36	1	92	US
P00254	4	2	2	3	4	4	2	1	4	2	37	1	95	US
P00255	0	2	2	4	2	4	2	1	2	1	51	1	99	US
P00256	4	5	5	2	3	3	3	3	5	2	44	1	83	US
P00257	5	4	4	4	4	4	5	4	4	1	43	1	93	US
P00258	3	3	1	5	4	5	4	4	4	3	38	1	76	US
P00259	5	2	2	5	4	5	4	4	2	3	24	1	92	US
P00260	5	1	3	5	3	5	1	2	2	4	38	1	86	US
P00261	5	5	5	3	4	5	4	4	5	1	29	1	94	US
P00262	4	1	3	1	1	2	4	3	2	1	31	1	85	US
P00263	5	4	5	1	4	3	4	5	5	1	42	1	79	US
P00264	5	2	4	4	4	5	4	5	3	1	41	1	78	US
P00265	2	1	3	2	3	2	2	3	3	1	18	1	77	US
P00266	5	4	4	2	2	4	4	2	4	1	32	1	67	US
P00267	5	4	2	4	4	5	4	5	4	3	36	1	73	US
P00268	4	5	5	4	4	5	5	4	4	3	40	1	89	US
P00269	4	4	4	4	2	3	4	2	2	1	29	1	89	US
P00270	2	2	1	3	4	3	5	5	3	4	31	1	95	US
P00271	4	4	2	2	2	4	4	1	3	1	30	1	99	US
P00272	5	4	4	4	4	5	3	4	2	4	39	1	74	US
P00273	2	5	4	1	1	2	4	4	4	2	24	1	92	US
P00274	4	1	4	2	3	5	5	1	5	2	50	1	86	US
P00275	4	5	5	2	3	4	5	1	5	2	34	1	84	US
P00276	4	5	5	2	4	4	3	3	5	3	49	1	74	US
P00277	5	4	2	2	2	2	4	2	3	2	26	1	85	US
P00278	5	2	5	4	3	0	5	2	3	2	28	1	84	US
P00279	3	1	1	5	3	2	1	4	2	2	45	1	82	US
P00280	1	1	1	3	3	4	2	2	4	3	30	1	97	US
P00281	2	1	2	3	2	3	2	2	1	1	31	1	97	US
P00282	1	2	3	3	1	2	0	2	3	3	44	1	87	US
P00283	5	4	4	1	4	5	5	2	5	2	51	1	96	US
P00284	5	4	5	2	4	5	4	5	3	3	38	1	88	US
P00285	3	2	2	3	4	5	2	3	5	3	46	1	91	US
P00286	4	2	1	1	2	2	3	2	4	2	37	1	96	US
P00287	5	4	5	1	3	3	5	2	4	3	47	1	76	US
P00288	4	5	4	3	0	4	2	4	4	2	31	1	86	US
P00289	2	5	4	4	3	4	4	3	2	1	31	1	87	US
P00290	4	0	3	4	2	3	2	2	1	1	32	1	82	US
P00291	2	3	2	4	1	5	1	2	1	1	29	1	78	US
P00292	4	3	3	1	4	4	4	4	2	1	42	1	89	US
P00293	4	3	5	3	4	3	3	3	5	1	34	1	64	US
P00294	4	2	5	3	2	4	4	4	5	2	32	1	93	US
P00295	5	5	4	4	5	4	4	4	5	3	25	1	87	US
P00296	5	4	5	3	5	4	5	5	1	5	35	1	80	US
P00297	2	1	2	4	4	5	2	2	4	3	18	1	82	US
P00298	4	2	3	2	2	3	4	1	4	1	53	1	79	US
P00299	5	1	2	3	4	3	4	4	4	2	33	1	82	US
P00300	2	5	5	3	2	3	3	2	5	1	52	1	80	US
P00301	3	2	4	5	5	3	1	4	2	4	18	1	77	US
P00302	4	2	4	1	3	3	1	2	2	4	49	1	77	US
P00303	5	3	3	2	3	4	3	5	4	4	38	1	72	US
P00304	1	1	1	4	2	2	2	1	3	2	34	1	95	US
P00305	5	4	5	1	2	5	4	2	5	3	38	1	82	US
P00306	5	5	5	4	4	4	5	5	5	2	54	1	89	US
P00307	4	3	5	2	3	5	4	5	5	2	45	1	83	US
P00308	3	4	5	4	2	3	3	2	4	4	43	1	88	US
P00309	4	4	5	2	5	4	4	2	3	4	29	1	59	US
P00310	3	4	5	2	1	4	2	4	4	1	21	1	82	US
P00311	5	5	4	5	4	3	5	5	5	2	34	1	91	US
P00312	4	2	3	2	4	5	2	4	4	2	23	1	62	US
P00313	3	4	4	5	4	3	5	2	4	2	42	1	89	US
P00314	5	5	3	1	2	5	4	4	5	5	44	1	74	US
P00315	4	4	5	2	3	4	5	2	5	2	42	1	93	US
P00316	2	1	2	2	1	1	3	3	2	1	36	1	99	US
P00317	3	2	2	4	4	5	4	4	5	2	42	1	77	US
P00318	4	3	5	1	3	4	5	3	2	2	34	1	96	US
P00319	1	5	4	5	1	2	2	1	4	1	22	1	85	US
P00320	4	3	3	4	1	2	4	2	4	2	39	1	91	US
P00321	5	3	0	1	3	4	3	4	2	2	53	1	88	US
P00322	5	5	2	5	5	5	4	0	3	0	37	1	91	US
P00323	2	2	4	4	3	4	4	4	4	2	32	1	89	US
P00324	4	4	5	2	5	5	5	4	4	2	19	1	94	US
P00325	5	5	4	5	4	4	5	2	4	5	39	1	87	US
P00326	4	3	5	3	2	5	4	4	4	2	35	1	86	US
P00327	5	3	2	2	5	4	2	5	3	4	24	1	72	US
P00328	3	2	2	2	4	5	2	5	5	3	43	1	86	US
P00329	1	1	3	2	2	4	1	3	2	1	30	1	85	US
P00330	4	2	1	1	4	5	1	2	2	3	35	1	88	US
P00331	3	2	2	2	1	4	2	2	2	1	40	1	99	US
P00332	5	2	5	5	5	4	5	5	2	2	28	1	96	US
P00333	5	3	0	2	0	5	3	4	4	4	36	1	98	US
P00334	4	3	2	1	3	5	4	3	3	2	47	1	65	US
P00335	4	2	3	2	2	4	2	2	5	2	59	1	76	US
P00336	4	2	2	2	2	3	4	1	4	1	34	1	74	US
P00337	5	2	2	4	4	5	4	4	4	1	34	1	87	US
P00338	5	4	4	2	4	5	2	5	2	4	36	1	85	US
P00339	4	2	4	3	3	3	5	5	4	2	30	1	67	US
P00340	2	5	4	1	2	3	4	3	2	1	40	1	90	US
P00341	1	1	1	4	1	3	5	1	2	2	33	1	95	US
P00342	5	4	4	4	5	5	4	4	4	5	19	1	89	US
P00343	4	4	5	1	3	3	2	4	4	2	18	1	77	US
P00344	5	4	5	1	0	4	5	1	3	1	30	1	92	US
P00345	2	4	4	3	1	4	4	1	5	1	48	1	93	US
P00346	4	1	2	3	3	3	1	4	1	1	30	1	67	US
P00347	3	4	3	3	2	5	4	3	4	3	33	1	61	US
P00348	5	0	4	3	5	5	4	4	4	3	31	1	97	US
P00349	2	1	2	2	2	4	4	1	5	1	29	1	72	US
P00350	1	4	5	3	2	1	4	1	2	1	59	1	71	US
P00351	4	3	5	4	4	5	4	4	3	5	49	1	83	US
P00352	4	3	2	2	3	5	4	4	1	2	28	1	90	US
P00353	2	3	5	2	3	3	5	2	3	2	21	1	95	US
P00354	5	2	4	2	3	5	2	4	0	2	38	1	62	US
P00355	5	4	4	4	5	5	4	5	5	2	28	1	94	US
P00356	5	2	2	5	5	5	3	5	5	3	41	1	81	US
P00357	3	4	3	2	1	2	3	1	2	1	30	1	89	US
P00358	4	4	5	3	4	4	4	3	4	2	43	1	87	US
P00359	4	4	2	3	5	4	4	3	4	1	18	1	99	US
P00360	5	1	5	4	5	0	4	5	5	4	41	1	75	US
P00361	4	5	5	3	2	4	4	2	4	1	20	1	97	US
P00362	5	1	1	3	5	4	1	4	4	3	18	1	94	US
P00363	5	1	5	3	4	4	3	4	4	4	26	1	81	US
P00364	2	0	2	3	1	5	4	2	4	1	38	1	67	US
P00365	2	4	2	3	1	1	2	2	3	1	43	1	83	US
P00366	4	5	3	1	4	4	5	4	5	2	45	1	94	US
P00367	5	4	3	2	3	3	2	1	4	2	43	1	90	US
P00368	4	4	5	2	4	5	1	4	2	3	29	1	90	US
P00369	1	2	4	1	2	3	3	2	4	2	18	1	96	US
P00370	5	1	2	2	2	5	1	3	1	3	32	1	65	US
P00371	2	5	4	3	5	5	4	2	4	5	36	1	79	US
P00372	4	4	4	3	4	4	4	2	5	3	27	1	81	US
P00373	3	2	2	4	2	4	2	1	3	4	33	1	85	US
P00374	3	4	4	1	2	3	5	2	4	1	39	1	91	US
P00375	4	4	4	5	2	2	4	4	2	1	40	1	57	US
P00376	3	1	3	2	1	4	2	2	1	1	26	1	98	US
P00377	5	2	4	3	4	5	4	5	4	4	18	1	83	US
P00378	4	2	4	2	3	2	4	1	4	3	41	1	91	US
P00379	2	4	2	3	3	3	1	2	1	1	20	1	74	US
P00380	3	1	2	3	4	4	2	2	1	1	31	1	96	US
P00381	4	4	5	2	2	5	4	3	3	2	54	1	87	US
P00382	4	5	5	4	5	4	4	4	5	3	18	1	82	US
P00383	3	3	3	2	1	3	1	2	3	2	37	1	66	US
P00384	5	4	4	5	4	4	4	2	5	2	30	1	86	US
P00385	3	5	4	2	1	5	5	5	4	1	35	1	88	US
P00386	1	2	3	2	2	3	2	1	1	2	37	1	96	US
P00387	5	3	4	2	2	4	3	2	4	5	53	1	82	US
P00388	4	1	4	3	4	4	2	5	4	4	18	1	73	US
P00389	4	3	3	1	1	3	4	2	4	2	49	1	85	US
P00390	4	2	5	4	4	5	2	2	2	3	33	1	81	US
P00391	4	1	2	2	2	3	1	1	4	1	30	1	91	US
P00392	5	4	3	1	5	5	4	3	5	5	41	1	99	US
P00393	4	4	4	3	2	3	4	2	5	2	24	1	74	US
P00394	2	1	1	2	4	4	2	4	4	2	30	1	92	US
P00395	4	5	5	2	4	5	5	2	4	2	30	1	74	US
P00396	5	3	4	5	3	4	4	4	4	3	35	1	92	US
P00397	3	2	4	2	1	3	2	1	1	1	22	1	93	US
P00398	4	3	3	4	2	4	3	3	2	3	31	1	95	US
P00399	4	3	3	2	2	4	4	2	4	2	32	1	95	US
P00400	5	3	4	4	3	4	4	2	4	3	46	1	89	US
P00401	3	5	4	2	2	4	4	3	1	1	29	1	35	US
P00402	4	2	4	2	1	2	4	1	4	1	37	1	87	US
P00403	5	5	5	2	5	5	4	4	0	5	30	1	89	US
P00404	5	1	3	2	3	4	3	2	4	2	35	1	69	US
P00405	4	3	2	4	4	5	4	1	5	2	40	1	81	US
P00406	4	5	5	2	4	5	4	2	3	2	44	1	90	US
P00407	4	4	4	5	2	3	4	4	4	4	44	1	93	US
P00408	5	5	5	4	5	4	2	4	4	4	48	1	84	US
P00409	4	4	2	3	2	4	4	4	4	2	36	1	97	US
P00410	4	2	4	3	5	4	2	3	4	2	33	1	90	US
P00411	5	3	4	5	4	5	2	4	2	1	51	1	84	US
P00412	4	5	5	2	2	5	4	5	5	1	36	1	84	US
P00413	5	4	4	3	3	4	5	4	4	2	44	1	72	US
P00414	5	3	2	5	3	4	4	2	5	4	30	1	55	US
P00415	5	1	1	2	2	2	4	1	3	1	37	1	96	US
P00416	3	1	5	2	2	4	3	3	1	1	30	1	93	US
P00417	2	2	5	2	1	4	4	1	3	2	57	1	57	US
P00418	5	4	5	4	4	4	5	2	5	2	28	1	97	US
P00419	5	4	4	2	2	3	5	3	2	1	18	1	81	US
P00420	4	4	2	4	4	3	4	5	3	5	34	1	97	US
P00421	5	2	4	2	4	4	3	3	4	1	51	1	87	US
P00422	4	5	5	1	5	5	5	5	4	5	37	1	96	US
P00423	4	3	3	4	4	3	2	4	4	5	38	1	87	US
P00424	3	2	2	1	2	4	3	1	5	1	42	1	98	US
P00425	5	1	4	3	4	4	2	4	2	2	26	1	71	US
P00426	3	4	4	3	1	4	5	2	4	1	42	1	65	US
P00427	4	2	4	2	3	5	5	5	3	4	40	1	87	US
P00428	5	1	1	4	3	4	1	2	4	2	43	1	92	US
P00429	1	4	5	3	1	2	1	1	3	2	45	1	83	US
P00430	5	2	4	1	2	5	4	4	4	4	20	1	80	US
P00431	2	5	4	4	5	4	5	4	4	5	44	1	77	US
P00432	5	3	4	3	4	4	2	4	0	4	49	1	91	US
