participant_id	CAT01	CAT02	CAT03	CAT04	CAT05	CAT06	CAT07	CAT08	CAT09	CAT10	CAT11	CAT12	CAT13	CAT14	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20
C00059	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0
C00060	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0
C00061	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
C00062	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0
C00063	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0
C00064	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0
C00065	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0
C00066	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
C00067	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0
C00068	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
C00069	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
C00070	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C00071	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
C00072	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C00073	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
C00074	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0
C00075	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
C00076	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0
C00077	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
C00078	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
C00079	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0
C00080	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0
C00081	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
C00082	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0
C00083	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
C00084	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
C00085	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
C00086	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
C00087	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0
C00088	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0
C00089	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0
C00090	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	1
C00091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00092	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
C00093	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
C00094	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C00095	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
C00096	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00097	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0
C00098	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
C00099	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00100	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
C00101	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0
C00102	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0
C00103	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0
C00104	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
C00105	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C00106	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0
C00107	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0
C00108	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
C00109	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0
C00110	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
C00111	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1
C00112	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1
C00113	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0
C00114	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0
C00115	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C00116	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0
C00117	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0
C00118	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C00119	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0
C00120	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0
C00121	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0
C00122	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
C00123	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0
C00124	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00125	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0
C00126	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
C00127	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
C00128	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0
C00129	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
C00130	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
C00131	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
C00132	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C00133	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
C00134	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0
C00135	0	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0
C00136	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0
C00137	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0
C00138	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0
C00139	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0
C00140	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0
C00141	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0
C00142	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1
C00143	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C00144	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
C00145	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
C00146	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0
C00147	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0
C00148	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1
C00149	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
C00150	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
C00151	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0
C00152	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C00153	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
C00154	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
C00155	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00156	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0
C00157	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
C00158	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C00159	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C00160	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C00161	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0
C00162	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
C00163	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
C00164	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0
C00165	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0
C00166	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0
C00167	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0
C00168	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C00169	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0
C00170	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0
C00171	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
C00172	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0
C00173	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C00174	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00175	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0
C00176	1	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0
C00177	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C00178	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0
C00179	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
C00180	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
C00181	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
C00182	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
C00183	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0
C00184	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0
C00185	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
C00186	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
C00187	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0
C00188	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
C00189	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
C00191	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C00192	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0
C00193	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0
C00194	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
C00195	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0
C00196	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
C00197	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C00198	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0
C00199	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00200	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1
C00201	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
C00202	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
C00203	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
C00204	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0
C00205	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C00206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
C00207	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0
C00208	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
C00209	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C00210	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0
C00211	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0
C00212	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0
C00213	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0
C00214	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
C00215	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
C00216	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00217	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0
C00218	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
C00219	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
C00220	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
C00221	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0
C00222	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
C00223	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
C00224	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C00225	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0
C00226	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
C00227	0	0	1	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
C00228	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1
C00229	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0
C00230	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
C00231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
C00232	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0
C00233	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
C00234	0	0	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0
C00235	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0
C00236	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0
C00237	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
C00238	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
C00239	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C00240	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0
C00241	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
C00242	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C00243	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0
C00244	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
C00245	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0
C00246	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
C00247	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
C00248	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0
C00249	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
C00250	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00251	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0
C00252	1	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
C00253	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
C00254	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
C00255	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
C00256	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
C00257	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
C00258	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
C00259	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1
C00260	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0
C00261	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0
C00262	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
C00263	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C00264	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0
C00265	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
C00267	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0
C00268	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0
C00269	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0
C00270	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0
C00271	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0
C00272	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0
C00273	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0
C00274	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0
C00275	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0
C00276	0	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
C00277	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0
C00278	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0
C00279	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0
C00280	0	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0
C00281	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
C00282	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
C00283	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
C00284	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
C00285	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
C00286	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C00287	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00288	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0
C00289	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0
C00290	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
C00291	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0
C00292	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0
C00293	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0
C00294	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
C00295	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0
C00296	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0
C00297	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
C00298	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0
C00299	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0
C00300	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0
C00301	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0
C00302	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
C00303	1	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0
C00304	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0
C00305	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
C00306	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
C00307	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
C00308	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0
C00309	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0
C00310	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
C00311	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
C00312	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0
