item,a,b,environment
spectra|level_1|66_66666_orgsyn_666_6666,1.1220544741279321,1.0213780402998833,spectra
spectra|level_1|77_77777_orgsyn_777_7777,1.802085312504553,-0.4977731901462751,spectra
spectra|level_1|88_88888_orgsyn_888_8888,0.9942338241749735,2.3265308501945228,spectra
spectra|level_2|00_0000_orgsyn_000_0000,1.8499088933831696,-1.5175082472452155,spectra
spectra|level_2|10_15227_orgsyn_084_0011_sub1,1.89761665486754,-0.5638094865234974,spectra
spectra|level_2|10_15227_orgsyn_084_0011_sub2,0.7571017415519993,1.8327221484187735,spectra
spectra|level_2|10_15227_orgsyn_084_0011_sub3,2.0106403903307215,-0.0592710154637815,spectra
spectra|level_2|10_15227_orgsyn_084_0077,3.4596613753242735,0.10008433602918483,spectra
spectra|level_2|10_15227_orgsyn_084_0215,2.4258913803876916,1.3889107213446676,spectra
spectra|level_2|10_15227_orgsyn_084_0317m,1.060529531397756,1.8660612454187449,spectra
spectra|level_2|10_15227_orgsyn_096_0036,1.361403463484856,2.325307323698041,spectra
spectra|level_2|10_15227_orgsyn_096_0245,2.6089702748748493,1.253204069411498,spectra
spectra|level_2|10_15227_orgsyn_101_0327,2.1846569439808357,-1.1531157763194884,spectra
spectra|level_2|10_15227_orgsyn_102_0001,1.8700007476351728,1.1513762129634053,spectra
spectra|level_2|10_15227_orgsyn_102_0086,1.9617112316521246,-0.715572423960611,spectra
spectra|level_2|10_15227_orgsyn_102_0114,0.9440580375229107,-2.54234492210389,spectra
spectra|level_2|11_11111_orgsyn_111_1111,1.9497266712954924,0.4303004805325533,spectra
spectra|level_2|22_22222_orgsyn_222_2222,1.9280911137523495,-0.1282844395043864,spectra
spectra|level_2|33_33333_orgsyn_333_3333,1.0512590022372554,1.5734556619690938,spectra
spectra|level_2|55_55555_orgsyn_555_5555,1.9758878397396349,1.3511656617480303,spectra
spectra|level_2|66_66666_orgsyn_666_6666,2.603232904121047,0.8394946725302371,spectra
spectra|level_2|77_77777_orgsyn_777_7777,1.6044912138644187,-0.2103518576944581,spectra
spectra|level_2|88_88888_orgsyn_888_8888,1.618646215479074,3.3837436590445265,spectra
wetlab|level_1|qualysis_lvl1_01,2.206580411269977,-1.7274198444416948,wetlab
wetlab|level_1|qualysis_lvl1_02,1.5196651529495628,0.17337582463910584,wetlab
wetlab|level_1|qualysis_lvl1_03,2.2674662753284096,-1.2556006462736975,wetlab
wetlab|level_1|qualysis_lvl1_04,1.1016934609953954,-0.21927209839688633,wetlab
wetlab|level_1|qualysis_lvl1_05,0.8016013489722287,0.34927990151528215,wetlab
wetlab|level_1|qualysis_lvl1_06,1.2089994968178266,-1.128019800798534,wetlab
wetlab|level_1|qualysis_lvl1_07,2.226862958215824,-2.2835339399670334,wetlab
wetlab|level_1|qualysis_lvl1_08,0.6796980234335455,1.3637855575758417,wetlab
wetlab|level_1|qualysis_lvl1_09,1.160121935384456,0.8923546310081318,wetlab
wetlab|level_1|qualysis_lvl1_10,0.4958716659956574,-0.7834594307619774,wetlab
wetlab|level_2|qualysis_lvl2_01,1.9139670391683208,0.2877418487189759,wetlab
wetlab|level_2|qualysis_lvl2_02,1.2197912290793123,0.5715258235398332,wetlab
wetlab|level_2|qualysis_lvl2_03,1.6249893783427523,1.5988606825540246,wetlab
wetlab|level_2|qualysis_lvl2_04,0.5328172640027066,1.2067218125390018,wetlab
wetlab|level_2|qualysis_lvl2_05,1.225205412217132,0.03728385300621783,wetlab
wetlab|level_2|qualysis_lvl2_06,1.0306194455339313,0.44842314819500606,wetlab
wetlab|level_2|qualysis_lvl2_07,2.038891869146633,0.7360809238144954,wetlab
wetlab|level_2|qualysis_lvl2_08,0.7099619881053393,0.4114028374015403,wetlab
wetlab|level_2|qualysis_lvl2_09,0.94899591320541,0.2806835475188196,wetlab
wetlab|level_2|qualysis_lvl2_10,2.5703316282146553,0.30523286538571737,wetlab
wetlab|level_3|qualysis_lvl3_01,1.0355937221237557,0.7506513602726042,wetlab
wetlab|level_3|qualysis_lvl3_02,0.5651822806620895,3.2084733367311165,wetlab
wetlab|level_3|qualysis_lvl3_03,1.0970735491196681,2.1805014879261786,wetlab
wetlab|level_3|qualysis_lvl3_04,0.8337802156926925,0.7799143199645245,wetlab
wetlab|level_3|qualysis_lvl3_05,1.6185330602234722,3.3839971300191456,wetlab
wetlab|level_3|qualysis_lvl3_06,1.4152246705273832,2.27578496296353,wetlab
wetlab|level_3|qualysis_lvl3_07,1.398221531829986,1.4450567249366992,wetlab
wetlab|level_3|qualysis_lvl3_08,1.564470515989415,1.627899554445055,wetlab
wetlab|level_3|qualysis_lvl3_09,0.9974424463709798,2.8118941950494003,wetlab
wetlab|level_3|qualysis_lvl3_10,2.8855911043714917,0.6338022206885923,wetlab
