method,held_out,budget,mse,spearman
stratified_irt,claude-opus-4.8__react,90,0.0006470588892800984,1.0
random,claude-opus-4.8__react,5,0.03124981801720235,0.8899946158047147
random,claude-opus-4.8__react,10,0.011781562698053418,0.9334240966499753
random,claude-opus-4.8__react,15,0.007051387757155072,0.9462678829001157
random,claude-opus-4.8__react,20,0.0066825839746491675,0.9619899491251318
random,claude-opus-4.8__react,25,0.0033091882299683146,0.9678691299079987
random,claude-opus-4.8__react,30,0.0030179125798501082,0.9677448800229483
random,claude-opus-4.8__react,35,0.002418248759712126,0.9748515192097678
random,claude-opus-4.8__react,40,0.002426722272521506,0.973025980998072
random,claude-opus-4.8__react,45,0.0018464242688440657,0.9761778062179957
random,claude-opus-4.8__react,50,0.0010446299320959705,0.9824448558630051
random,claude-opus-4.8__react,55,0.0010884760091137298,0.9851398295224683
random,claude-opus-4.8__react,60,0.0009126454403702014,0.9876554734937296
random,claude-opus-4.8__react,65,0.0008665049113229646,0.987549873544804
random,claude-opus-4.8__react,70,0.0006710042959691791,0.9909071912354211
random,claude-opus-4.8__react,75,0.00040874756802977653,0.9907331320320754
random,claude-opus-4.8__react,80,0.0002569962086917154,0.9931109995635051
random,claude-opus-4.8__react,85,0.00017968623482732604,0.9940202743916194
random,claude-opus-4.8__react,90,8.160157380860571e-05,0.9962577914755741
stratified_proportional,claude-opus-4.8__react,5,0.024684371208691717,0.9012640919721508
stratified_proportional,claude-opus-4.8__react,10,0.01881645631507469,0.9398574685417818
stratified_proportional,claude-opus-4.8__react,15,0.0075960686082189,0.9547881397127869
stratified_proportional,claude-opus-4.8__react,20,0.004973520144861932,0.963847306950931
stratified_proportional,claude-opus-4.8__react,25,0.003987751634223629,0.9698695003353768
stratified_proportional,claude-opus-4.8__react,30,0.0030901395302047195,0.9683442605258519
stratified_proportional,claude-opus-4.8__react,35,0.002628923531748599,0.9774023444243763
stratified_proportional,claude-opus-4.8__react,40,0.002809552059755546,0.977337078206198
stratified_proportional,claude-opus-4.8__react,45,0.0017582078254503198,0.9790881483612496
stratified_proportional,claude-opus-4.8__react,50,0.0013346452512449064,0.9824404220801015
stratified_proportional,claude-opus-4.8__react,55,0.001192708117430946,0.984400628153654
stratified_proportional,claude-opus-4.8__react,60,0.0007865887027815498,0.9880037121065063
stratified_proportional,claude-opus-4.8__react,65,0.0007286104130225727,0.9875843787817389
stratified_proportional,claude-opus-4.8__react,70,0.0005334168013968827,0.990347873145549
stratified_proportional,claude-opus-4.8__react,75,0.0004903589155475075,0.9921678321678322
stratified_proportional,claude-opus-4.8__react,80,0.00021188982571299252,0.992412311641388
stratified_proportional,claude-opus-4.8__react,85,0.00014329486325992651,0.9956643356643358
stratified_proportional,claude-opus-4.8__react,90,7.019731848945657e-05,0.9966433566433568
irt_maxinfo,claude-opus-4.8__tool_calling,5,0.0781618832050702,0.9805806756909201
stratified_irt,claude-opus-4.8__tool_calling,5,0.03982996831145323,0.9752433670693017
irt_maxinfo,claude-opus-4.8__tool_calling,10,0.05739592575826167,0.9929823694376383
stratified_irt,claude-opus-4.8__tool_calling,10,0.019481032141240424,0.9930069930069931
irt_maxinfo,claude-opus-4.8__tool_calling,15,0.07088434183391182,0.9930069930069931
stratified_irt,claude-opus-4.8__tool_calling,15,0.04532973190483384,0.9860139860139862
irt_maxinfo,claude-opus-4.8__tool_calling,20,0.07267039384336818,0.9930069930069931
stratified_irt,claude-opus-4.8__tool_calling,20,0.04392145767315532,0.9930069930069931
irt_maxinfo,claude-opus-4.8__tool_calling,25,0.053626734268900016,1.0
stratified_irt,claude-opus-4.8__tool_calling,25,0.03369958533272981,0.9702291586486097
irt_maxinfo,claude-opus-4.8__tool_calling,30,0.05118505105377005,1.0
stratified_irt,claude-opus-4.8__tool_calling,30,0.04532973190483384,0.9860139860139862
irt_maxinfo,claude-opus-4.8__tool_calling,35,0.04214347243650754,1.0
stratified_irt,claude-opus-4.8__tool_calling,35,0.05469058489851358,0.9860139860139862
irt_maxinfo,claude-opus-4.8__tool_calling,40,0.0418507129923043,1.0
stratified_irt,claude-opus-4.8__tool_calling,40,0.04604220235400643,0.9860139860139862
irt_maxinfo,claude-opus-4.8__tool_calling,45,0.03982996831145323,1.0
stratified_irt,claude-opus-4.8__tool_calling,45,0.03982996831145323,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,50,0.025464010864644726,0.9930069930069931
stratified_irt,claude-opus-4.8__tool_calling,50,0.030826393843368185,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,55,0.026637775591214104,0.9930069930069931
stratified_irt,claude-opus-4.8__tool_calling,55,0.030317747456872657,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,60,0.02653895176298987,0.9982502173821435
stratified_irt,claude-opus-4.8__tool_calling,60,0.028755500226346865,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,65,0.025464010864644726,1.0
stratified_irt,claude-opus-4.8__tool_calling,65,0.023537887233774767,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,70,0.020286763795604307,1.0
stratified_irt,claude-opus-4.8__tool_calling,70,0.014298053417836186,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,75,0.013051036869372833,0.9930069930069931
stratified_irt,claude-opus-4.8__tool_calling,75,0.008631859564408284,0.9930069930069931
irt_maxinfo,claude-opus-4.8__tool_calling,80,0.008477707673155326,1.0
stratified_irt,claude-opus-4.8__tool_calling,80,0.004840606609325531,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,85,0.004284595418866848,1.0
stratified_irt,claude-opus-4.8__tool_calling,85,0.0017579076473877922,1.0
irt_maxinfo,claude-opus-4.8__tool_calling,90,0.000688597153060722,1.0
stratified_irt,claude-opus-4.8__tool_calling,90,0.0004750957083536053,1.0
random,claude-opus-4.8__tool_calling,5,0.02786741511996379,0.8837436280541417
random,claude-opus-4.8__tool_calling,10,0.013429798098687187,0.936023586715741
random,claude-opus-4.8__tool_calling,15,0.008722639706252193,0.9522385354384051
random,claude-opus-4.8__tool_calling,20,0.007719968311453143,0.960800387347674
random,claude-opus-4.8__tool_calling,25,0.006379047460389319,0.9671854752260994
random,claude-opus-4.8__tool_calling,30,0.003590819375282932,0.9743934581048245
random,claude-opus-4.8__tool_calling,35,0.0038181715246533277,0.9721915799186821
random,claude-opus-4.8__tool_calling,40,0.002069447034857402,0.9738736726293876
random,claude-opus-4.8__tool_calling,45,0.001573148768505943,0.9795730611919896
random,claude-opus-4.8__tool_calling,50,0.0010243308646446332,0.9803437056381563
random,claude-opus-4.8__tool_calling,55,0.001135953189244597,0.9850329426770561
random,claude-opus-4.8__tool_calling,60,0.0008440392334389617,0.9877579390533469
random,claude-opus-4.8__tool_calling,65,0.0006437343947969732,0.9898591593522452
random,claude-opus-4.8__tool_calling,70,0.0004666891104110273,0.9915017499167871
random,claude-opus-4.8__tool_calling,75,0.0004107796589708774,0.9913972532673309
random,claude-opus-4.8__tool_calling,80,0.0002008805454957005,0.9934609563017474
random,claude-opus-4.8__tool_calling,85,0.0002090916273627392,0.9947889536184509
random,claude-opus-4.8__tool_calling,90,7.945819850331671e-05,0.9965727525614589
stratified_proportional,claude-opus-4.8__tool_calling,5,0.02921413852421911,0.8965392060710934
stratified_proportional,claude-opus-4.8__tool_calling,10,0.011826734268899953,0.9346198667940294
stratified_proportional,claude-opus-4.8__tool_calling,15,0.00814300850057844,0.9575356000180771
stratified_proportional,claude-opus-4.8__tool_calling,20,0.005024947034857402,0.9619556739152518
stratified_proportional,claude-opus-4.8__tool_calling,25,0.0043634559710276225,0.9688993758299292
stratified_proportional,claude-opus-4.8__tool_calling,30,0.0028786491625169804,0.9735133469844719
stratified_proportional,claude-opus-4.8__tool_calling,35,0.002503072957566916,0.9781416131720542
stratified_proportional,claude-opus-4.8__tool_calling,40,0.002405819375282937,0.977540364832133
stratified_proportional,claude-opus-4.8__tool_calling,45,0.0013952533127665188,0.97677702681058
stratified_proportional,claude-opus-4.8__tool_calling,50,0.0015397078859212294,0.9871642470349018
stratified_proportional,claude-opus-4.8__tool_calling,55,0.0009688239471134243,0.9863985707812094
stratified_proportional,claude-opus-4.8__tool_calling,60,0.0010881574367486541,0.9856223533431349
stratified_proportional,claude-opus-4.8__tool_calling,65,0.0004637399342656852,0.9906978912259106
stratified_proportional,claude-opus-4.8__tool_calling,70,0.00048057013516135204,0.992761900756254
stratified_proportional,claude-opus-4.8__tool_calling,75,0.0004272532287108283,0.9911538155364542
stratified_proportional,claude-opus-4.8__tool_calling,80,0.00021706937528293387,0.9940203968611878
stratified_proportional,claude-opus-4.8__tool_calling,85,0.0001489222980540436,0.9954544842197615
stratified_proportional,claude-opus-4.8__tool_calling,90,7.355748928345864e-05,0.9976223776223777
irt_maxinfo,claude-4.5__react,5,0.028109732910819394,0.9805806756909201
stratified_irt,claude-4.5__react,5,0.0162969669533726,0.9752433670693017
irt_maxinfo,claude-4.5__react,10,0.0022714350384789553,0.9752433670693017
stratified_irt,claude-4.5__react,10,0.011590583974649163,0.9702291586486097
irt_maxinfo,claude-4.5__react,15,0.013070489412001418,0.9789533946223928
stratified_irt,claude-4.5__react,15,0.013070489412001418,0.99124495269876
irt_maxinfo,claude-4.5__react,20,0.028109732910819394,0.9982502173821435
stratified_irt,claude-4.5__react,20,0.016296966953372544,1.0
irt_maxinfo,claude-4.5__react,25,0.028109732910819394,1.0
stratified_irt,claude-4.5__react,25,0.0206380733363513,0.99124495269876
irt_maxinfo,claude-4.5__react,30,0.011590583974649163,0.99124495269876
stratified_irt,claude-4.5__react,30,0.028109732910819394,0.99124495269876
irt_maxinfo,claude-4.5__react,35,0.005811165824410337,0.99124495269876
stratified_irt,claude-4.5__react,35,0.036296619580380815,1.0
irt_maxinfo,claude-4.5__react,40,0.005279413761883201,0.99124495269876
stratified_irt,claude-4.5__react,40,0.0315629244001811,0.9930069930069931
irt_maxinfo,claude-4.5__react,45,0.0076842009959257555,0.9930069930069931
stratified_irt,claude-4.5__react,45,0.026639178668633936,0.9930069930069931
irt_maxinfo,claude-4.5__react,50,0.002668711634223637,0.9930069930069931
stratified_irt,claude-4.5__react,50,0.018403520144861935,0.9930069930069931
irt_maxinfo,claude-4.5__react,55,0.0019380430919342015,1.0
stratified_irt,claude-4.5__react,55,0.01279480412587123,0.9860139860139862
irt_maxinfo,claude-4.5__react,60,0.007110914943916324,1.0
stratified_irt,claude-4.5__react,60,0.013843775464010867,1.0
irt_maxinfo,claude-4.5__react,65,0.005223669710517244,0.9930069930069931
stratified_irt,claude-4.5__react,65,0.0076842009959257555,0.9930069930069931
irt_maxinfo,claude-4.5__react,70,0.005383723358062123,0.9930069930069931
stratified_irt,claude-4.5__react,70,0.004199355142690852,1.0
irt_maxinfo,claude-4.5__react,75,0.004760021326895062,1.0
stratified_irt,claude-4.5__react,75,0.0028082482772496496,1.0
irt_maxinfo,claude-4.5__react,80,0.002773030783159831,0.9930069930069931
stratified_irt,claude-4.5__react,80,0.0014182435491172513,0.9930069930069931
irt_maxinfo,claude-4.5__react,85,0.001288441590787005,1.0
stratified_irt,claude-4.5__react,85,0.0009727528622292289,1.0
irt_maxinfo,claude-4.5__react,90,0.00044070217795886906,1.0
stratified_irt,claude-4.5__react,90,0.00014650727383487295,0.9930069930069931
random,claude-4.5__react,5,0.026246243549117244,0.8921201517155102
random,claude-4.5__react,10,0.014095264825712992,0.9343714760328108
random,claude-4.5__react,15,0.007313212816256726,0.948641051173626
random,claude-4.5__react,20,0.008301647804436397,0.9561127589554745
random,claude-4.5__react,25,0.003984837591670441,0.9706087728563155
random,claude-4.5__react,30,0.002721231728786277,0.9733103687873741
random,claude-4.5__react,35,0.0038616946997902823,0.9723974113695827
random,claude-4.5__react,40,0.0016430946129470355,0.9763217152772197
random,claude-4.5__react,45,0.0017660670321747749,0.9854475587852299
random,claude-4.5__react,50,0.00169995588954278,0.9827569324564444
random,claude-4.5__react,55,0.0015254529741216452,0.9887045471195844
random,claude-4.5__react,60,0.0012882530053820232,0.9860808518759927
random,claude-4.5__react,65,0.0007038258228173612,0.9883547741930302
random,claude-4.5__react,70,0.0004884910523738701,0.9906285126983798
random,claude-4.5__react,75,0.0003836650148382881,0.9916055113194916
random,claude-4.5__react,80,0.000362357910819376,0.9941250161948832
random,claude-4.5__react,85,0.00017622072647129354,0.9947198202447275
random,claude-4.5__react,90,5.716658562893661e-05,0.9962234086004004
stratified_proportional,claude-4.5__react,5,0.028811690357627883,0.887822532564126
stratified_proportional,claude-4.5__react,10,0.015831605251244905,0.9336517070082295
stratified_proportional,claude-4.5__react,15,0.010616550877722447,0.9467907751508342
stratified_proportional,claude-4.5__react,20,0.006936115889542778,0.9569132340060794
stratified_proportional,claude-4.5__react,25,0.0040639797193300145,0.9679535551713319
stratified_proportional,claude-4.5__react,30,0.004679643076304009,0.9745018765607327
stratified_proportional,claude-4.5__react,35,0.004200925268613559,0.9714754798833596
stratified_proportional,claude-4.5__react,40,0.00248274354911725,0.9801977779952276
stratified_proportional,claude-4.5__react,45,0.002441773887966737,0.9761785456682932
stratified_proportional,claude-4.5__react,50,0.001220350783159802,0.9808997126427951
stratified_proportional,claude-4.5__react,55,0.0014302576162879888,0.9870267157488779
stratified_proportional,claude-4.5__react,60,0.000758635984105428,0.9851374393265125
stratified_proportional,claude-4.5__react,65,0.0006691749352433973,0.9902441117428444
stratified_proportional,claude-4.5__react,70,0.0006312509307933231,0.9932506145495579
stratified_proportional,claude-4.5__react,75,0.0005367203339872252,0.9922724515015279
stratified_proportional,claude-4.5__react,80,0.00015593503847895,0.9934265734265735
stratified_proportional,claude-4.5__react,85,0.00015574100917761818,0.994930039312678
stratified_proportional,claude-4.5__react,90,6.386792526644657e-05,0.9961535397652546
irt_maxinfo,kimi-k2.5__react,5,0.0007186962426437299,0.9663176840445068
stratified_irt,kimi-k2.5__react,5,0.029995291987324566,0.9627519361329034
irt_maxinfo,kimi-k2.5__react,10,0.0021910366681756463,0.9859399412855984
stratified_irt,kimi-k2.5__react,10,0.001101674966047982,0.965034965034965
irt_maxinfo,kimi-k2.5__react,15,0.0001815804034002319,0.9929823694376383
stratified_irt,kimi-k2.5__react,15,0.0016113676374427865,0.99124495269876
irt_maxinfo,kimi-k2.5__react,20,0.021552738795835216,0.9982502173821435
stratified_irt,kimi-k2.5__react,20,0.009371887732005443,0.9930069930069931
irt_maxinfo,kimi-k2.5__react,25,0.021552738795835216,1.0
stratified_irt,kimi-k2.5__react,25,0.008246185604345866,0.9860139860139862
irt_maxinfo,kimi-k2.5__react,30,0.023554630048790312,0.9930069930069931
stratified_irt,kimi-k2.5__react,30,0.01963973643176901,0.9930069930069931
irt_maxinfo,kimi-k2.5__react,35,0.013980007575687556,0.9930069930069931
stratified_irt,kimi-k2.5__react,35,0.013980007575687582,0.9790209790209792
irt_maxinfo,kimi-k2.5__react,40,0.0103649728383884,0.9930069930069931
stratified_irt,kimi-k2.5__react,40,0.020109653689452237,0.9877423203570683
irt_maxinfo,kimi-k2.5__react,45,0.007926471393681285,1.0
stratified_irt,kimi-k2.5__react,45,0.022877456421262102,1.0
irt_maxinfo,kimi-k2.5__react,50,0.0018325685830692534,0.99124495269876
stratified_irt,kimi-k2.5__react,50,0.018173334540516065,1.0
irt_maxinfo,kimi-k2.5__react,55,0.00202412968734215,1.0
stratified_irt,kimi-k2.5__react,55,0.016544826012293803,1.0
irt_maxinfo,kimi-k2.5__react,60,0.00491987827574064,0.9982502173821435
stratified_irt,kimi-k2.5__react,60,0.015246119410492458,1.0
irt_maxinfo,kimi-k2.5__react,65,0.008358328623356288,1.0
stratified_irt,kimi-k2.5__react,65,0.010131361482477577,1.0
irt_maxinfo,kimi-k2.5__react,70,0.004853303276946791,0.9982502173821435
stratified_irt,kimi-k2.5__react,70,0.005682135235262074,1.0
irt_maxinfo,kimi-k2.5__react,75,0.0077689846587193434,1.0
stratified_irt,kimi-k2.5__react,75,0.0048268002615562845,1.0
irt_maxinfo,kimi-k2.5__react,80,0.004803669646899031,1.0
stratified_irt,kimi-k2.5__react,80,0.0032272068809416302,1.0
irt_maxinfo,kimi-k2.5__react,85,0.0023025584233107347,1.0
stratified_irt,kimi-k2.5__react,85,0.0011469963236273287,0.9930069930069931
irt_maxinfo,kimi-k2.5__react,90,0.0004056938785775344,1.0
stratified_irt,kimi-k2.5__react,90,0.0002464083519161312,1.0
random,kimi-k2.5__react,5,0.029951717519239477,0.8755959961790135
random,kimi-k2.5__react,10,0.01707341964689905,0.9263527819591174
random,kimi-k2.5__react,15,0.008715065036969971,0.9523851498588742
random,kimi-k2.5__react,20,0.005853462200090539,0.958045921791399
random,kimi-k2.5__react,25,0.004705705604345858,0.9702265654031565
random,kimi-k2.5__react,30,0.004093542578341131,0.9718422037639605
random,kimi-k2.5__react,35,0.0017868265075156368,0.9733847728687195
random,kimi-k2.5__react,40,0.001709579221367134,0.9729310568834494
random,kimi-k2.5__react,45,0.0020632510101772205,0.9785557376789238
random,kimi-k2.5__react,50,0.002557184753282028,0.983317664115917
random,kimi-k2.5__react,55,0.001780193692969034,0.9851720060133741
random,kimi-k2.5__react,60,0.00101469624264373,0.9877602155116643
random,kimi-k2.5__react,65,0.0009109057352787555,0.9882508903207574
random,kimi-k2.5__react,70,0.0007190436156354787,0.9893337951720512
random,kimi-k2.5__react,75,0.000581854256828127,0.9932504307378699
random,kimi-k2.5__react,80,0.0002898292213671355,0.993425470341775
random,kimi-k2.5__react,85,0.0002464871577582115,0.9945803277282433
random,kimi-k2.5__react,90,7.579001726941957e-05,0.9952791381199292
stratified_proportional,kimi-k2.5__react,5,0.02331341964689905,0.9042661622356948
stratified_proportional,kimi-k2.5__react,10,0.022696909008601173,0.9360427515482378
stratified_proportional,kimi-k2.5__react,15,0.007154403098435691,0.9507795053229868
stratified_proportional,kimi-k2.5__react,20,0.005150653689452238,0.9654603610095782
stratified_proportional,kimi-k2.5__react,25,0.004199751561792666,0.9699757705225375
stratified_proportional,kimi-k2.5__react,30,0.0030340059353151246,0.9733064380329042
stratified_proportional,kimi-k2.5__react,35,0.0030418712317883245,0.976982220547482
stratified_proportional,kimi-k2.5__react,40,0.002845504753282027,0.9807995074791316
stratified_proportional,kimi-k2.5__react,45,0.001392099972614836,0.9754079038095053
stratified_proportional,kimi-k2.5__react,50,0.0017372766681756457,0.985340545374511
stratified_proportional,kimi-k2.5__react,55,0.0014362682489739563,0.9860464690008192
stratified_proportional,kimi-k2.5__react,60,0.0007495993159297818,0.9898221976991524
stratified_proportional,kimi-k2.5__react,65,0.0010031308391437932,0.9901044966489847
stratified_proportional,kimi-k2.5__react,70,0.0006093397511109479,0.9899279840662695
stratified_proportional,kimi-k2.5__react,75,0.000520934729641368,0.9923761515621127
stratified_proportional,kimi-k2.5__react,80,0.000277254753282029,0.9943705987532375
stratified_proportional,kimi-k2.5__react,85,0.00023686571919530322,0.995909060291699
stratified_proportional,kimi-k2.5__react,90,8.147638448770103e-05,0.9959440559440561
irt_maxinfo,claude-4.5__tool_calling,5,0.004752195563603437,0.9805806756909201
stratified_irt,claude-4.5__tool_calling,5,0.0008373019465821605,0.9752433670693017
irt_maxinfo,claude-4.5__tool_calling,10,7.98551380715262e-05,0.9823619317924353
stratified_irt,claude-4.5__tool_calling,10,0.022181982797645976,0.965034965034965
irt_maxinfo,claude-4.5__tool_calling,15,0.0008373019465821637,0.9929823694376383
stratified_irt,claude-4.5__tool_calling,15,0.003091675469040793,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,20,0.009788365776369398,0.9982502173821435
stratified_irt,claude-4.5__tool_calling,20,0.014145812584880015,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,25,0.008637131733816207,1.0
stratified_irt,claude-4.5__tool_calling,25,0.017672025350837464,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,30,0.002394748755092793,0.9860139860139862
stratified_irt,claude-4.5__tool_calling,30,0.018388129369749973,0.9982502173821435
irt_maxinfo,claude-4.5__tool_calling,35,0.001629312367771905,0.9930069930069931
stratified_irt,claude-4.5__tool_calling,35,0.011867089180624719,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,40,0.0005729402444544986,0.9860139860139862
stratified_irt,claude-4.5__tool_calling,40,0.016624535989135335,1.0
irt_maxinfo,claude-4.5__tool_calling,45,0.002617181116532242,0.9982502173821435
stratified_irt,claude-4.5__tool_calling,45,0.01494983149740953,1.0
irt_maxinfo,claude-4.5__tool_calling,50,0.0004383232231779012,1.0
stratified_irt,claude-4.5__tool_calling,50,0.007214153010411931,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,55,0.0010609699613526836,1.0
stratified_irt,claude-4.5__tool_calling,55,0.006375265723617497,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,60,0.0034734721593481046,1.0
stratified_irt,claude-4.5__tool_calling,60,0.008513661284643603,1.0
irt_maxinfo,claude-4.5__tool_calling,65,0.004752195563603407,1.0
stratified_irt,claude-4.5__tool_calling,65,0.007109994883759521,0.9930069930069931
irt_maxinfo,claude-4.5__tool_calling,70,0.003643902033425383,0.9930069930069931
stratified_irt,claude-4.5__tool_calling,70,0.005154279801553925,1.0
irt_maxinfo,claude-4.5__tool_calling,75,0.003395335043508857,1.0
stratified_irt,claude-4.5__tool_calling,75,0.0030916754690407684,1.0
irt_maxinfo,claude-4.5__tool_calling,80,0.0013275944997736455,1.0
stratified_irt,claude-4.5__tool_calling,80,0.002909110457220458,1.0
irt_maxinfo,claude-4.5__tool_calling,85,0.0008373019465821541,1.0
stratified_irt,claude-4.5__tool_calling,85,0.0012956395744994026,1.0
irt_maxinfo,claude-4.5__tool_calling,90,0.0004018934884786657,1.0
stratified_irt,claude-4.5__tool_calling,90,0.00031773273197748165,1.0
random,claude-4.5__tool_calling,5,0.043576365776369405,0.8767335710078146
random,claude-4.5__tool_calling,10,0.015108791308284292,0.9363764961666878
random,claude-4.5__tool_calling,15,0.013996413057693271,0.9483065453543443
random,claude-4.5__tool_calling,20,0.004898791308284292,0.9598342033613779
random,claude-4.5__tool_calling,25,0.006834592159348121,0.9653211587105694
random,claude-4.5__tool_calling,30,0.004056970977315025,0.9688656745132508
random,claude-4.5__tool_calling,35,0.002719827348232185,0.976391522662439
random,claude-4.5__tool_calling,40,0.0025516530104119496,0.977580946843576
random,claude-4.5__tool_calling,45,0.0024821372499706563,0.9797534367186088
random,claude-4.5__tool_calling,50,0.0009690398189225885,0.9836997973450652
random,claude-4.5__tool_calling,55,0.0010641266344668132,0.9841239743448691
random,claude-4.5__tool_calling,60,0.0007711459182133702,0.9879361130465604
random,claude-4.5__tool_calling,65,0.0008086780009696748,0.9846137912229713
random,claude-4.5__tool_calling,70,0.0005704256982104747,0.9909076180452402
random,claude-4.5__tool_calling,75,0.0004155858236507226,0.9919568162963398
random,claude-4.5__tool_calling,80,0.0002589455636034407,0.9936358120939645
random,claude-4.5__tool_calling,85,0.00014232263420640038,0.9944752180869328
random,claude-4.5__tool_calling,90,7.594654863102075e-05,0.9962932774355463
stratified_proportional,claude-4.5__tool_calling,5,0.035691429606156636,0.8850795694479429
stratified_proportional,claude-4.5__tool_calling,10,0.019102663648709817,0.9337260008826873
stratified_proportional,claude-4.5__tool_calling,15,0.009801160102610534,0.9491573957932
stratified_proportional,claude-4.5__tool_calling,20,0.0058062806699864175,0.9665460373503523
stratified_proportional,claude-4.5__tool_calling,25,0.0057453121593481205,0.969066252480678
stratified_proportional,claude-4.5__tool_calling,30,0.0035744366983552133,0.9745690997046965
stratified_proportional,claude-4.5__tool_calling,35,0.001969501686052417,0.9766321872667438
stratified_proportional,claude-4.5__tool_calling,40,0.002414876414667269,0.9794666561378769
stratified_proportional,claude-4.5__tool_calling,45,0.0015288617049220624,0.9804820255353017
stratified_proportional,claude-4.5__tool_calling,50,0.002068062797645993,0.9854872735951862
stratified_proportional,claude-4.5__tool_calling,55,0.0010734278477602882,0.9855549360460643
stratified_proportional,claude-4.5__tool_calling,60,0.0009421435541471765,0.9866411503664244
stratified_proportional,claude-4.5__tool_calling,65,0.0009984984718245176,0.9904873043199136
stratified_proportional,claude-4.5__tool_calling,70,0.0005911221810589333,0.9918528710819473
stratified_proportional,claude-4.5__tool_calling,75,0.0005677636014285005,0.9916083916083918
stratified_proportional,claude-4.5__tool_calling,80,0.00027015301041195084,0.9948945533527058
stratified_proportional,claude-4.5__tool_calling,85,0.00012864200400688686,0.995594099205814
stratified_proportional,claude-4.5__tool_calling,90,6.129774379781944e-05,0.9967832167832169
irt_maxinfo,deepseek-v3.2__react,5,0.06715817111815305,0.9663176840445068
stratified_irt,deepseek-v3.2__react,5,0.06715817111815305,0.9752433670693017
irt_maxinfo,deepseek-v3.2__react,10,0.019362426437301967,0.9734491798677136
stratified_irt,deepseek-v3.2__react,10,0.0003666817564508838,0.965034965034965
irt_maxinfo,deepseek-v3.2__react,15,0.0003666817564508838,0.9859399412855984
stratified_irt,deepseek-v3.2__react,15,0.0004347668628338618,0.99124495269876
irt_maxinfo,deepseek-v3.2__react,20,0.010170937075599813,0.9930069930069931
