session_id	device_family	completion_band	response_quality_band
S002671	device_3317	ordinary	high
S004086	device_2045	ordinary	typical
S006996	device_2511	ordinary	typical
S009460	device_2827	ordinary	low
S005168	device_0701	ordinary	typical
S007066	device_0372	repeatable	typical
S002508	device_2564	ordinary	typical
S002103	device_3200	ordinary	typical
S007827	device_0343	repeatable	high
S008346	device_2610	ordinary	high
S012631	device_0303	repeatable	high
S005165	device_3461	ordinary	typical
S010849	device_2401	ordinary	high
S004375	device_2403	repeatable	typical
S001178	device_1773	ordinary	typical
S008669	device_1992	repeatable	high
S003742	device_2160	repeatable	high
S010536	device_0605	repeatable	high
S000895	device_3229	repeatable	high
S012742	device_2938	repeatable	high
S012592	device_2591	ordinary	typical
S003443	device_0481	ordinary	typical
S011325	device_2711	ordinary	typical
S000126	device_0210	ordinary	typical
S006851	device_3577	ordinary	high
S006912	device_1503	ordinary	typical
S002140	device_2259	ordinary	high
S010523	device_2113	repeatable	typical
S005713	device_2686	ordinary	typical
S008347	device_0488	ordinary	typical
S006298	device_1618	ordinary	typical
S003529	device_0308	ordinary	high
S010695	device_2775	ordinary	typical
S010612	device_1268	repeatable	typical
S006727	device_1504	ordinary	typical
S000530	device_1812	ordinary	typical
S012542	device_0381	ordinary	typical
S005019	device_1283	ordinary	typical
S004909	device_0303	repeatable	high
S003768	device_2509	ordinary	typical
S010961	device_0802	ordinary	typical
S005204	device_0256	ordinary	typical
S003507	device_3431	ordinary	high
S004181	device_3407	repeatable	high
S002030	device_1563	ordinary	typical
S010103	device_0321	repeatable	typical
S009101	device_0416	ordinary	typical
S010217	device_0652	ordinary	typical
S002127	device_1040	ordinary	high
S005706	device_0702	ordinary	typical
S007359	device_0125	repeatable	high
S000718	device_1362	ordinary	typical
S004671	device_0793	repeatable	high
S005491	device_0881	repeatable	typical
S011610	device_0078	ordinary	typical
S011271	device_3557	ordinary	typical
S009787	device_0978	repeatable	typical
S010308	device_2151	repeatable	high
S004431	device_0760	ordinary	typical
S009343	device_0584	ordinary	low
S005758	device_1548	ordinary	typical
S000131	device_1583	ordinary	typical
S002081	device_2373	ordinary	high
S009651	device_1766	ordinary	typical
S001848	device_0522	repeatable	high
S004634	device_0228	repeatable	high
S011343	device_0254	ordinary	high
S011753	device_1877	ordinary	typical
S003865	device_2955	repeatable	typical
S012658	device_2496	ordinary	typical
S007814	device_3046	ordinary	typical
S002180	device_2067	repeatable	high
S004934	device_2382	ordinary	typical
S003867	device_2327	ordinary	typical
S007779	device_0771	ordinary	typical
S000297	device_1060	ordinary	high
S006764	device_0621	repeatable	high
S007173	device_3055	ordinary	low
S009878	device_2804	repeatable	high
S010529	device_1193	repeatable	high
S010434	device_2957	ordinary	typical
S002361	device_1165	ordinary	high
S007466	device_3398	ordinary	low
S002824	device_2571	ordinary	typical
S012145	device_1450	ordinary	typical
S003134	device_1948	ordinary	typical
S002278	device_0293	ordinary	typical
S001780	device_1436	ordinary	typical
S002260	device_1160	ordinary	low
S001678	device_1210	repeatable	high
S003604	device_1907	ordinary	typical
S002412	device_0660	repeatable	high
S000159	device_0677	repeatable	typical
S004176	device_3336	ordinary	high
S004868	device_2574	ordinary	low
S002315	device_3189	ordinary	high
S002939	device_0323	ordinary	low
S010752	device_0793	ordinary	typical
S012272	device_2784	ordinary	typical
S009336	device_3511	ordinary	typical
S011410	device_2099	ordinary	typical
S004883	device_1792	ordinary	low
S002818	device_1698	repeatable	high
S007759	device_2392	ordinary	high
S011571	device_1865	ordinary	typical
S010113	device_3586	ordinary	typical
S011308	device_2942	ordinary	high
S005119	device_3062	ordinary	typical
S006315	device_3047	repeatable	typical
S002031	device_0878	ordinary	high
S011519	device_1120	ordinary	low
S000798	device_2341	ordinary	typical
S012226	device_3151	repeatable	typical
S009163	device_1763	repeatable	typical
S010195	device_1640	ordinary	typical
S010016	device_0319	repeatable	typical
S001468	device_3518	ordinary	typical
S006444	device_0933	ordinary	typical
S009054	device_0432	ordinary	typical
S002697	device_1792	ordinary	high
S000211	device_0666	ordinary	typical
S011700	device_1189	repeatable	high
S004251	device_1020	ordinary	typical
S002069	device_0889	ordinary	high
S004525	device_3447	ordinary	typical
S007300	device_2161	ordinary	high
S003783	device_1580	repeatable	high
S006962	device_1741	repeatable	typical
S011036	device_2186	repeatable	high
S003203	device_3132	repeatable	high
S008926	device_1878	repeatable	low
S001474	device_3119	repeatable	high
S001551	device_0405	ordinary	high
S011548	device_2729	ordinary	high
S007630	device_2439	ordinary	typical
S007478	device_3406	ordinary	typical
S000260	device_3451	repeatable	high
S008657	device_3423	ordinary	typical
S010442	device_2487	ordinary	typical
S006430	device_3167	ordinary	typical
S004090	device_0849	ordinary	typical
S007325	device_0918	repeatable	high
S006193	device_0888	repeatable	high
S007641	device_1381	ordinary	high
S004197	device_0858	ordinary	typical
S011521	device_2561	ordinary	typical
S008320	device_3387	repeatable	typical
S003866	device_2902	ordinary	typical
S011460	device_1717	ordinary	typical
S009589	device_3129	ordinary	typical
S006221	device_0757	ordinary	typical
S007708	device_1509	ordinary	typical
S011808	device_1618	ordinary	typical
S009141	device_3229	ordinary	typical
S010353	device_1072	ordinary	typical
S003535	device_2219	ordinary	typical
S005696	device_2478	ordinary	typical
S012471	device_3049	ordinary	low
S004801	device_2390	ordinary	typical
S005787	device_0635	ordinary	typical
S012747	device_2336	ordinary	typical
S012278	device_0702	ordinary	high
S004724	device_0643	repeatable	typical
S011431	device_1974	ordinary	typical
S004579	device_0425	ordinary	typical
S001062	device_3183	ordinary	high
S004988	device_3548	ordinary	typical
S006759	device_0336	ordinary	typical
S002902	device_2694	repeatable	typical
S009088	device_1685	ordinary	typical
S006734	device_2213	ordinary	low
S001596	device_2633	ordinary	typical
S001555	device_2785	ordinary	typical
S002861	device_1570	ordinary	typical
S010909	device_2600	repeatable	high
S009412	device_2003	ordinary	typical
S003846	device_0754	ordinary	high
S008184	device_2334	ordinary	typical
S009934	device_2957	ordinary	typical
S006688	device_3230	ordinary	typical
S007576	device_0268	ordinary	typical
S010835	device_0362	ordinary	typical
S012054	device_3527	repeatable	high
S012902	device_0632	ordinary	typical
S009059	device_2816	ordinary	typical
S008487	device_1964	repeatable	high
S007326	device_3209	ordinary	typical
S006232	device_0875	ordinary	typical
S007795	device_2885	ordinary	typical
S004444	device_2526	ordinary	typical
S003567	device_3142	repeatable	typical
S009441	device_3496	ordinary	typical
S001876	device_0631	ordinary	high
S005974	device_1182	ordinary	typical
S001550	device_2076	ordinary	typical
S001201	device_3345	ordinary	low
S005992	device_0307	ordinary	high
S011210	device_0236	ordinary	high
S004933	device_2994	repeatable	high
S006123	device_1614	ordinary	typical
S012102	device_0786	ordinary	typical
S001398	device_2554	ordinary	high
S007689	device_3093	repeatable	high
S003632	device_3396	repeatable	typical
S004744	device_0333	ordinary	low
S004603	device_3207	ordinary	typical
S001456	device_2983	repeatable	low
S008520	device_2530	ordinary	typical
S005281	device_3292	ordinary	typical
S001683	device_2523	repeatable	typical
S005671	device_1501	ordinary	typical
S002845	device_0971	ordinary	typical
S011876	device_1282	ordinary	typical
S010522	device_0887	ordinary	high
S003681	device_2169	repeatable	high
S005366	device_1758	ordinary	high
S007839	device_0489	ordinary	typical
S009860	device_3196	ordinary	typical
S010992	device_3092	ordinary	typical
S011665	device_1402	ordinary	typical
S007036	device_2791	ordinary	typical
S001407	device_2700	repeatable	high
S007342	device_0189	repeatable	high
S009706	device_1930	ordinary	typical
S005377	device_3016	ordinary	low
S007152	device_1760	repeatable	high
S002365	device_0057	ordinary	typical
S001032	device_2895	ordinary	low
S011552	device_2079	ordinary	high
S004492	device_2125	repeatable	typical
S007788	device_0928	repeatable	high
S006126	device_0481	repeatable	high
S009886	device_1428	ordinary	typical
S002668	device_2129	ordinary	typical
S005826	device_1522	repeatable	high
S000191	device_3040	ordinary	typical
S011140	device_1395	ordinary	low
S001128	device_3421	ordinary	typical
S007875	device_0049	ordinary	low
S002689	device_0345	repeatable	high
S003363	device_3585	repeatable	high
S002637	device_3318	ordinary	typical
S003755	device_0480	ordinary	high
S012332	device_1631	ordinary	typical
S002084	device_3276	repeatable	high
S003698	device_2929	ordinary	typical
S010592	device_2634	ordinary	high
S001987	device_3124	repeatable	typical
S002467	device_3207	ordinary	typical
S012317	device_0668	ordinary	high
S005033	device_2440	ordinary	high
S001160	device_2790	ordinary	typical
S006143	device_2645	repeatable	typical
S010486	device_0898	ordinary	low
S009304	device_2285	ordinary	typical
S007515	device_1271	ordinary	typical
S000556	device_1470	repeatable	high
S002750	device_2601	ordinary	high
S006705	device_2399	ordinary	high
S010666	device_2847	ordinary	low
S001305	device_1719	ordinary	low
S002663	device_1317	ordinary	typical
S000546	device_0845	ordinary	typical
S001320	device_1659	ordinary	typical
S003949	device_3511	ordinary	typical
S002698	device_2413	ordinary	typical
S004177	device_1675	ordinary	typical
S005322	device_3003	ordinary	typical
S002363	device_1930	ordinary	typical
S004357	device_1926	ordinary	high
S000305	device_0379	ordinary	low
S004823	device_2446	repeatable	high
S003778	device_2550	ordinary	typical
S006393	device_0620	ordinary	typical
S010177	device_0927	ordinary	high
S000198	device_2511	ordinary	typical
S004535	device_1042	ordinary	high
S012744	device_2865	ordinary	typical
S002370	device_3289	ordinary	typical
S001684	device_2463	ordinary	typical
S011814	device_1776	ordinary	typical
S004768	device_2330	ordinary	typical
S001906	device_2159	repeatable	high
S010655	device_1088	repeatable	high
S008427	device_2129	ordinary	typical
S009641	device_2185	repeatable	high
S010511	device_0804	ordinary	low
S011603	device_2344	ordinary	high
S002586	device_0722	ordinary	typical
S007720	device_2218	ordinary	typical
S000890	device_1085	repeatable	high
S008226	device_2800	repeatable	high
S012866	device_2670	repeatable	high
S005938	device_1706	ordinary	typical
S004961	device_0523	ordinary	typical
S000589	device_3529	repeatable	typical
S009533	device_1332	ordinary	typical
S001237	device_3290	repeatable	typical
S001837	device_1403	repeatable	typical
S003695	device_1868	ordinary	low
S008228	device_1397	ordinary	typical
S011051	device_1376	ordinary	typical
S012150	device_1665	repeatable	typical
S005585	device_3299	ordinary	high
S009553	device_0218	ordinary	typical
S011953	device_0324	repeatable	high
S002810	device_1722	repeatable	high
S009470	device_0689	ordinary	typical
S001963	device_1144	ordinary	typical
S008853	device_3033	ordinary	typical
S000626	device_1465	ordinary	typical
S004984	device_0258	ordinary	typical
S012073	device_2604	ordinary	high
S001311	device_1486	repeatable	high
S012330	device_0728	repeatable	high
S003691	device_3193	ordinary	typical
S000577	device_3333	ordinary	high
S001561	device_1540	ordinary	typical
S012676	device_2918	repeatable	high
S011707	device_2860	repeatable	high
S002583	device_0953	ordinary	typical
S011826	device_2848	ordinary	typical
S005953	device_2339	ordinary	typical
S009073	device_2978	ordinary	typical
S001525	device_2801	repeatable	high
S010631	device_0534	repeatable	high
S005062	device_2059	ordinary	typical
S003644	device_2737	repeatable	high
S008909	device_1860	ordinary	typical
S002115	device_0222	ordinary	typical
S011107	device_0342	repeatable	high
S000782	device_0935	repeatable	high
S000044	device_0860	ordinary	typical
S004374	device_0643	repeatable	high
S011071	device_1815	ordinary	typical
S012819	device_3455	ordinary	typical
S002226	device_2291	ordinary	typical
S009961	device_1372	ordinary	typical
S012606	device_3313	ordinary	typical
S005502	device_1733	repeatable	typical
S007076	device_3238	repeatable	typical
S006984	device_3087	ordinary	typical
S006852	device_3501	ordinary	typical
S009817	device_1807	repeatable	high
S011384	device_0543	repeatable	high
S001084	device_1154	ordinary	typical
S000490	device_3533	ordinary	high
S005221	device_3296	ordinary	typical
S000528	device_1906	ordinary	typical
S006701	device_1455	repeatable	typical
S012513	device_1091	ordinary	typical
S004852	device_1664	ordinary	typical
S000344	device_0514	ordinary	low
S001940	device_2138	ordinary	typical
S007222	device_1375	ordinary	high
S007903	device_1858	ordinary	typical
S011848	device_1811	ordinary	typical
S006427	device_1463	ordinary	typical
S002802	device_2190	ordinary	typical
S005279	device_3474	repeatable	high
S012674	device_3592	ordinary	high
S003945	device_0021	ordinary	typical
S005876	device_1530	repeatable	typical
S009951	device_1826	ordinary	typical
S012501	device_1144	repeatable	typical
S010088	device_1371	ordinary	typical
S008498	device_3453	ordinary	typical
S012897	device_0867	ordinary	typical
S010680	device_1378	repeatable	high
S010769	device_0201	ordinary	low
S003641	device_3349	repeatable	high
S006212	device_1436	ordinary	high
S002923	device_1796	ordinary	typical
S006986	device_0475	ordinary	low
S005094	device_2685	ordinary	high
S007490	device_3386	repeatable	typical
S007995	device_2794	repeatable	high
S007160	device_2654	ordinary	typical
S008190	device_1430	ordinary	typical
S002451	device_3526	ordinary	typical
S000479	device_1856	repeatable	high
S008847	device_3454	ordinary	typical
S000048	device_2878	ordinary	typical
S003396	device_1925	ordinary	typical
S008553	device_2976	ordinary	typical
S007247	device_1933	repeatable	high
S003839	device_0794	ordinary	high
S004562	device_2796	repeatable	high
S007060	device_1026	ordinary	typical
S009199	device_2993	ordinary	high
S007271	device_0825	ordinary	typical
S002504	device_1121	ordinary	typical
S012504	device_3552	ordinary	typical
S009999	device_1185	ordinary	typical
S002686	device_2447	ordinary	typical
S009642	device_3145	repeatable	typical
S005760	device_0618	ordinary	typical
S012068	device_0178	ordinary	low
S003696	device_1253	ordinary	typical
S008276	device_0035	ordinary	typical
S002005	device_3071	ordinary	typical
S006347	device_1985	ordinary	typical
S004475	device_0921	repeatable	high
S010198	device_1680	ordinary	typical
S008317	device_0430	repeatable	typical
S008620	device_1590	ordinary	high
S008359	device_2321	ordinary	typical
S004819	device_2579	repeatable	high
S010326	device_0408	ordinary	typical
S001553	device_1328	ordinary	typical
S005068	device_0716	ordinary	typical
S010878	device_1136	ordinary	typical
S000538	device_2451	repeatable	typical
S000554	device_2433	ordinary	typical
S001081	device_3557	repeatable	typical
S010252	device_3002	ordinary	typical
S005923	device_2031	repeatable	typical
S009359	device_1656	ordinary	high
S003174	device_1730	ordinary	low
S011663	device_2211	repeatable	high
S007111	device_1503	ordinary	typical
S001172	device_2567	ordinary	typical
S011780	device_1855	ordinary	high
S005001	device_0078	ordinary	typical
S004184	device_1329	ordinary	typical
S001452	device_0427	ordinary	typical
S008062	device_1014	ordinary	typical
S000270	device_2800	ordinary	typical
S006654	device_0601	ordinary	typical
S010837	device_0062	ordinary	typical
S010609	device_1537	ordinary	typical
S010501	device_3560	repeatable	high
S008738	device_3044	ordinary	high
S010138	device_1845	ordinary	typical
S001485	device_0714	ordinary	typical
S006955	device_0827	ordinary	typical
S004601	device_1624	ordinary	high
S003874	device_1367	ordinary	typical
S000054	device_2026	ordinary	low
S003300	device_2955	ordinary	typical
S005368	device_1017	repeatable	high
S002695	device_3458	repeatable	typical
S010735	device_0015	ordinary	typical
S007370	device_1804	ordinary	high
S011540	device_1741	ordinary	typical
S000494	device_0898	ordinary	low
S009654	device_2111	ordinary	typical
S005970	device_0450	repeatable	high
S012002	device_3583	ordinary	typical
S003562	device_0161	ordinary	typical
S009503	device_1684	ordinary	typical
S011217	device_2859	repeatable	high
S002390	device_0179	repeatable	typical
S002768	device_3527	ordinary	high
S010433	device_1990	ordinary	low
S008841	device_1821	ordinary	high
S006751	device_2217	ordinary	typical
S005574	device_3577	ordinary	typical
S003802	device_1064	ordinary	typical
S007208	device_0888	ordinary	high
S000821	device_0887	ordinary	typical
S012270	device_1548	ordinary	typical
S006368	device_1646	ordinary	typical
S008361	device_1829	ordinary	typical
S005248	device_2469	ordinary	typical
S012598	device_2953	ordinary	typical
S009317	device_2170	ordinary	typical
S012086	device_0771	ordinary	typical
S004488	device_1338	ordinary	typical
S012200	device_1677	ordinary	typical
S007443	device_2259	ordinary	typical
S001859	device_2969	ordinary	typical
S010723	device_0796	repeatable	high
S008827	device_0384	repeatable	high
S001097	device_2844	ordinary	typical
S006425	device_2108	ordinary	typical
S011119	device_3391	ordinary	typical
S003433	device_2683	repeatable	high
S007244	device_0099	ordinary	typical
S007600	device_1470	ordinary	typical
S009725	device_1801	ordinary	high
S005261	device_1642	repeatable	high
S002017	device_1883	ordinary	high
S007838	device_1661	ordinary	typical
S008711	device_0051	repeatable	high
S002658	device_3282	ordinary	high
S002447	device_2422	ordinary	typical
S008690	device_0598	repeatable	high
S004016	device_2285	ordinary	typical
S007596	device_2222	ordinary	typical
S005289	device_2579	ordinary	typical
S012238	device_3097	ordinary	typical
S011499	device_2610	repeatable	high
S000869	device_2794	repeatable	high
S003727	device_1808	ordinary	high
S009645	device_2912	ordinary	high
S011306	device_1942	ordinary	low
S008253	device_1882	ordinary	typical
S005564	device_2223	ordinary	typical
S004751	device_2633	repeatable	high
S006162	device_2039	repeatable	typical
S000654	device_2709	ordinary	typical
S011812	device_1433	repeatable	high
S009867	device_1360	ordinary	typical
S000686	device_0380	repeatable	typical
S012033	device_1564	ordinary	typical
S000737	device_2003	repeatable	high
S012008	device_0801	repeatable	high
S004684	device_2945	ordinary	typical
S008613	device_3349	ordinary	typical
S008843	device_1007	ordinary	high
S010018	device_1760	ordinary	typical
S005612	device_2708	repeatable	low
S006796	device_2576	repeatable	high
S001519	device_2006	ordinary	typical
S008332	device_0324	repeatable	high
S008202	device_1868	ordinary	typical
S000441	device_1634	ordinary	typical
S005904	device_3113	ordinary	typical
S008523	device_0062	ordinary	typical
S008616	device_2292	ordinary	typical
S002693	device_0540	repeatable	high
S011305	device_3166	ordinary	typical
S006558	device_3185	ordinary	typical
S004402	device_1437	ordinary	typical
S010277	device_0349	ordinary	typical
S002613	device_2223	ordinary	typical
S010944	device_0707	ordinary	high
S002722	device_2864	ordinary	high
S002715	device_0918	ordinary	typical
S004743	device_1421	ordinary	typical
S006924	device_2248	ordinary	typical
S007336	device_0676	ordinary	typical
S005318	device_2472	ordinary	typical
S005888	device_1940	ordinary	typical
S006349	device_2725	ordinary	typical
S011356	device_3409	repeatable	typical
S003678	device_1926	ordinary	typical
S012286	device_2261	repeatable	typical
S006272	device_3132	ordinary	low
S003269	device_0609	repeatable	high
S008851	device_0307	ordinary	typical
S008945	device_2162	ordinary	high
S007912	device_2391	ordinary	high
S004209	device_1848	ordinary	typical
S001158	device_2814	ordinary	typical
S009567	device_3285	ordinary	high
S008978	device_0402	repeatable	typical
S000058	device_0955	ordinary	high
S011443	device_0458	repeatable	high
S003200	device_1709	ordinary	typical
S000707	device_0942	repeatable	typical
S003027	device_2675	repeatable	high
S010122	device_1534	ordinary	typical
S012115	device_3583	ordinary	typical
S000870	device_0113	ordinary	high
S008218	device_0652	ordinary	typical
S010309	device_2109	ordinary	typical
S004133	device_1288	ordinary	typical
S009428	device_0697	ordinary	typical
S012345	device_3291	ordinary	high
S009866	device_2253	ordinary	high
S005292	device_1366	ordinary	typical
S001055	device_2326	ordinary	typical
S012096	device_0006	ordinary	typical
S005334	device_2781	ordinary	typical
S006621	device_2418	ordinary	typical
S004985	device_2119	repeatable	typical
S011900	device_2033	ordinary	high
S001453	device_0925	ordinary	typical
S002687	device_0826	repeatable	high
S000476	device_0775	repeatable	high
S011527	device_2518	ordinary	low
S000711	device_0365	ordinary	typical
S003623	device_3202	repeatable	high
S002804	device_1423	ordinary	typical
S002972	device_0973	repeatable	high
S010287	device_2344	ordinary	typical
S000787	device_3068	ordinary	typical
S009395	device_0634	ordinary	typical
S004869	device_1783	ordinary	typical
S004940	device_0176	ordinary	typical
S011578	device_0968	ordinary	typical
S000868	device_0076	ordinary	high
S001599	device_1365	repeatable	high
S006179	device_0881	ordinary	typical
S002594	device_3425	ordinary	typical
S001741	device_1823	ordinary	high
S003671	device_0067	ordinary	typical
S009891	device_2931	repeatable	high
S012956	device_0297	ordinary	typical
S001779	device_0574	ordinary	high
S004418	device_0249	ordinary	typical
S004654	device_2366	repeatable	high
S006800	device_1036	ordinary	typical
S012347	device_2543	ordinary	high
S002618	device_2771	ordinary	typical
S004800	device_2620	ordinary	typical
S008120	device_1644	ordinary	typical
S002712	device_1683	ordinary	high
S005101	device_1889	ordinary	typical
S001428	device_3338	repeatable	high
S007431	device_3382	ordinary	typical
S011858	device_2169	ordinary	typical
S000176	device_0125	repeatable	high
S003372	device_2280	ordinary	typical
S011087	device_0771	repeatable	high
S003179	device_1622	ordinary	high
S011515	device_3426	ordinary	high
S008338	device_0591	repeatable	typical
S002954	device_3387	ordinary	typical
S001233	device_1826	ordinary	typical
S009012	device_2983	ordinary	typical
S004657	device_0344	ordinary	typical
S004767	device_1918	repeatable	typical
S008524	device_3273	ordinary	low
S002884	device_2899	ordinary	typical
S008388	device_0274	ordinary	typical
S000908	device_0880	ordinary	typical
S006556	device_1929	ordinary	typical
S005186	device_0659	ordinary	high
S012843	device_1667	repeatable	typical
S001334	device_3198	ordinary	low
S010074	device_2937	ordinary	typical
S004807	device_0484	ordinary	typical
S004870	device_0167	ordinary	typical
S008736	device_2062	ordinary	typical
S001716	device_3389	repeatable	typical
S011293	device_2663	ordinary	typical
S005143	device_0321	ordinary	high
S000897	device_2181	ordinary	low
S005929	device_1823	ordinary	typical
S005145	device_0833	repeatable	high
S008876	device_2276	repeatable	high
S001925	device_2314	ordinary	high
S012722	device_0497	repeatable	high
S003779	device_0191	ordinary	high
S001083	device_3053	ordinary	high
S012395	device_0560	ordinary	typical
S004967	device_1208	ordinary	typical
S002890	device_2735	repeatable	typical
S000915	device_2045	ordinary	typical
S005160	device_2812	ordinary	high
S002723	device_1423	ordinary	high
S004071	device_1503	ordinary	typical
S006868	device_2959	ordinary	high
S007872	device_0304	repeatable	high
S006854	device_0283	repeatable	typical
S006915	device_2571	repeatable	high
S006423	device_1441	repeatable	high
S000529	device_0885	ordinary	low
S000436	device_2087	repeatable	high
S010661	device_1351	ordinary	typical
S002156	device_1333	ordinary	typical
S004874	device_2602	ordinary	typical
S005730	device_1262	ordinary	typical
S009095	device_1519	ordinary	typical
S008530	device_0936	ordinary	typical
S008192	device_0082	repeatable	high
S011853	device_1129	ordinary	high
S001348	device_0583	ordinary	typical
S000704	device_2740	ordinary	high
S004256	device_2110	ordinary	high
S002980	device_1709	ordinary	typical
S000633	device_0830	repeatable	low
S006794	device_1566	ordinary	typical
S009924	device_1484	repeatable	high
S001039	device_1510	ordinary	low
S009113	device_0774	ordinary	typical
S010953	device_3182	ordinary	typical
S010742	device_3046	ordinary	typical
S004789	device_2035	ordinary	typical
S006129	device_3596	ordinary	typical
S003350	device_3541	repeatable	high
S007953	device_0396	repeatable	typical
S005653	device_2351	ordinary	typical
S001558	device_0999	repeatable	high
S000992	device_1002	ordinary	typical
S002844	device_2663	ordinary	typical
S004213	device_2158	ordinary	typical
S008004	device_0791	ordinary	typical
S009633	device_0681	ordinary	high
S000137	device_0236	repeatable	high
S005005	device_0306	ordinary	high
S001414	device_3133	ordinary	typical
S001503	device_0135	ordinary	typical
S000483	device_1591	repeatable	high
S010487	device_0355	repeatable	high
S007057	device_3056	repeatable	high
S005743	device_3522	ordinary	typical
S002947	device_1825	ordinary	typical
S002567	device_3226	ordinary	typical
S008492	device_1905	ordinary	high
S009613	device_1552	ordinary	typical
S005744	device_3594	ordinary	typical
S012732	device_1771	repeatable	high
S011207	device_2245	ordinary	typical
S003970	device_1472	ordinary	high
S011893	device_3495	repeatable	typical
S002034	device_3509	ordinary	typical
S004264	device_2771	ordinary	typical
S000168	device_0890	ordinary	typical
S004498	device_0999	repeatable	high
S008341	device_0814	repeatable	high
S009067	device_1980	repeatable	high
S001877	device_2808	ordinary	typical
S009868	device_0470	ordinary	typical
S010405	device_1047	repeatable	high
S002004	device_2246	ordinary	typical
S008732	device_3510	ordinary	typical
S009404	device_3490	repeatable	typical
S000962	device_3006	ordinary	high
S007150	device_0181	ordinary	typical
S011507	device_2625	ordinary	typical
S006906	device_0451	ordinary	typical
S010048	device_0757	repeatable	high
S001488	device_0575	ordinary	typical
S000515	device_0221	ordinary	typical
S005934	device_0449	ordinary	high
S001916	device_2098	ordinary	typical
S001258	device_0442	ordinary	typical
S011402	device_3189	ordinary	low
S010057	device_1886	ordinary	high
S012460	device_2576	ordinary	high
S008136	device_0209	repeatable	high
S008982	device_2520	repeatable	high
S008052	device_3446	ordinary	typical
S004250	device_1895	repeatable	high
S007330	device_2017	ordinary	typical
S009378	device_2093	ordinary	typical
S004710	device_0121	repeatable	typical
S009661	device_1229	repeatable	typical
S002940	device_2433	ordinary	typical
