participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	gender
R00332	5	5	2	4	4	2	5	5	5	4	2
R00333	2	4	4	1	2	4	5	1	1	1	2
R00334	4	3	4	3	4	4	0	2	4	2	2
R00335	4	4	4	4	3	4	3	4	4	3	1
R00336	0	2	5	3	4	2	4	3	4	2	2
R00337	5	5	5	5	5	0	4	4	5	4	2
R00338	4	2	4	2	2	5	3	3	4	4	1
R00339	5	5	5	4	3	5	4	3	5	2	1
R00340	3	1	2	3	4	2	2	4	4	4	1
R00341	5	4	4	3	4	4	5	4	5	4	1
R00342	2	2	2	2	2	3	3	3	2	2	1
R00343	5	3	1	1	5	4	3	4	3	2	1
R00344	3	1	3	1	2	3	1	3	1	1	1
R00345	4	2	4	1	3	4	4	4	5	1	1
R00346	3	5	5	3	1	2	4	2	4	2	2
R00347	5	2	5	4	4	5	4	5	5	2	2
R00348	4	2	5	3	4	4	4	2	5	2	2
R00349	4	4	5	0	5	0	4	2	5	2	2
R00350	5	4	5	2	3	4	2	2	5	5	2
R00351	5	4	4	5	4	2	4	4	5	2	2
R00352	4	4	5	4	2	4	4	1	4	1	2
R00353	3	4	5	3	4	4	4	2	4	3	1
R00354	2	4	4	5	3	4	4	4	4	3	2
R00355	5	4	2	5	4	4	4	5	4	3	1
R00356	4	4	4	3	3	4	4	3	4	1	1
R00357	3	4	2	4	5	4	3	4	4	5	1
R00358	5	4	1	3	4	4	5	3	4	5	1
R00359	4	4	5	3	4	4	4	2	4	2	1
R00360	5	3	5	5	4	4	5	2	5	4	1
R00361	2	5	4	3	2	3	4	1	5	1	2
R00362	4	3	3	2	3	4	5	4	4	4	1
R00363	4	4	4	2	2	4	2	2	2	4	2
R00364	3	4	5	1	2	5	4	2	4	1	1
R00365	5	4	1	4	4	4	4	4	5	2	1
R00366	5	5	5	2	4	4	4	4	5	3	2
R00367	5	3	3	5	4	3	1	5	4	4	1
R00368	1	2	4	0	2	1	4	2	4	1	1
R00369	5	1	2	1	2	4	2	0	3	1	1
R00370	4	1	4	5	4	4	4	5	2	3	1
R00371	4	4	5	1	5	2	4	2	4	4	1
R00372	4	5	5	4	4	2	5	2	5	4	2
R00373	2	3	3	2	1	5	2	1	3	4	2
R00374	4	5	4	2	2	4	5	4	4	2	2
R00375	3	3	3	2	3	4	2	2	4	3	2
R00376	4	4	4	3	2	4	5	5	5	3	1
R00377	3	1	4	4	4	3	4	4	2	2	2
R00378	3	4	1	2	1	4	3	2	2	2	1
R00379	5	4	4	2	4	3	3	4	4	2	2
R00380	4	4	5	4	4	5	4	2	5	5	1
R00381	5	4	4	1	5	4	5	3	5	4	1
R00382	5	5	5	5	5	5	5	5	5	5	2
R00383	3	4	4	3	2	4	3	2	4	2	2
R00384	5	4	4	4	4	4	5	5	5	5	2
R00385	4	2	5	4	4	2	4	3	4	2	2
R00386	1	0	4	4	3	3	4	4	4	1	1
R00387	3	4	5	4	3	5	4	4	3	2	2
R00388	5	5	4	2	2	4	5	4	4	2	2
R00389	4	1	2	4	5	4	2	5	4	3	2
R00390	3	4	2	5	4	2	2	5	4	3	2
R00391	2	4	5	4	2	4	4	4	4	1	1
R00392	4	5	5	3	5	5	5	4	5	5	1
R00393	2	1	1	2	2	5	2	2	4	1	1
R00394	4	5	5	3	4	4	4	3	5	2	1
R00395	3	2	4	2	1	5	2	1	2	1	1
R00396	3	2	1	2	1	4	4	3	4	2	2
R00397	3	2	2	3	4	5	4	4	2	4	1
R00398	5	4	4	1	5	2	4	5	5	3	1
R00399	3	4	5	1	2	2	4	3	4	4	2
R00400	3	2	2	2	4	5	5	3	4	3	1
R00401	5	4	4	5	1	5	4	4	4	3	1
R00402	5	5	5	0	3	3	5	3	5	4	2
R00403	4	2	4	3	5	5	5	3	4	2	1
R00404	4	4	3	2	5	3	4	3	5	5	1
R00405	5	3	3	5	4	5	4	5	5	5	1
R00406	5	5	3	4	3	2	4	5	5	5	1
R00407	4	3	2	3	3	1	2	3	2	1	1
R00408	5	2	5	4	5	3	3	5	4	5	2
R00409	5	2	3	5	5	5	3	4	4	3	1
R00410	5	5	5	4	5	5	5	5	4	4	2
R00411	4	2	4	5	4	5	5	5	4	4	1
R00412	1	4	4	3	2	4	4	1	5	1	1
R00413	3	2	4	3	4	5	4	1	4	1	1
R00414	5	4	5	5	5	4	3	4	4	2	1
R00415	4	4	3	5	4	5	2	4	4	2	1
R00416	5	2	3	3	3	4	2	4	4	2	1
R00417	4	5	5	2	4	4	5	5	5	4	1
R00418	5	2	1	2	4	5	5	4	4	3	1
R00419	3	2	5	2	2	2	4	2	3	3	1
R00420	3	4	4	2	2	2	5	3	4	1	1
R00421	5	4	3	5	4	4	4	5	5	3	1
R00422	4	4	4	4	3	4	4	2	2	4	2
R00423	2	5	5	2	2	2	5	2	4	3	2
R00424	3	4	4	2	2	4	4	1	3	4	1
R00425	4	5	5	4	5	5	5	5	5	4	2
R00426	5	2	5	2	5	4	2	4	4	4	1
R00427	4	3	4	4	3	4	5	4	4	1	1
R00428	5	1	3	3	4	3	2	5	3	5	1
R00429	4	4	5	2	3	4	4	5	5	1	2
R00430	5	2	4	2	2	2	2	3	3	1	2
R00431	5	3	4	4	4	5	5	5	4	4	2
R00432	4	2	4	3	4	5	4	3	4	4	1
R00433	5	3	3	4	4	5	4	4	4	4	1
R00434	2	4	3	2	2	5	4	2	4	2	1
R00435	3	4	4	4	2	4	5	2	2	2	2
R00436	2	4	4	2	4	2	5	1	5	2	2
R00437	4	4	5	2	2	2	3	4	4	2	2
R00438	1	4	5	1	1	5	3	2	4	2	2
R00439	5	3	4	2	4	2	4	5	5	4	1
R00440	1	2	2	2	2	4	3	3	3	1	1
R00441	4	4	4	4	4	4	3	4	5	4	2
R00442	4	5	4	3	5	4	5	5	5	5	1
R00443	4	2	2	2	5	4	2	2	1	2	2
R00444	3	2	4	1	1	2	1	3	4	4	1
R00445	5	4	5	5	5	5	4	4	4	3	2
R00446	2	5	5	2	1	5	4	2	4	0	2
R00447	4	2	4	4	4	3	4	4	4	4	2
R00448	2	4	4	4	2	4	4	4	1	3	1
R00449	5	1	3	3	5	4	3	3	4	5	2
R00450	5	3	4	5	3	4	5	4	5	2	1
R00451	2	3	4	0	1	4	2	1	2	1	2
R00452	2	4	4	1	4	5	5	2	5	1	1
R00453	4	5	4	3	4	5	4	5	5	4	1
R00454	5	3	5	2	5	4	4	5	5	3	2
R00455	4	3	4	1	2	5	5	3	4	3	2
R00456	3	2	1	5	3	5	2	4	3	4	1
R00457	5	5	5	4	5	5	5	4	5	5	2
R00458	5	5	5	5	4	2	5	5	5	2	1
R00459	5	4	5	5	4	5	4	3	5	3	2
R00460	4	5	4	3	2	4	4	1	5	2	1
R00461	4	5	5	1	2	5	4	3	5	1	2
R00462	5	2	5	3	1	4	1	3	5	4	2
R00463	5	0	1	2	4	3	3	0	3	5	1
R00464	3	4	5	2	3	5	4	4	4	2	2
R00465	5	3	5	2	4	4	5	5	5	2	2
R00466	4	3	4	5	2	4	2	4	4	5	1
R00467	5	0	5	4	4	5	2	5	4	4	2
R00468	3	4	4	3	2	3	4	2	5	2	1
R00469	3	5	5	2	4	4	4	3	5	2	1
R00470	3	4	4	1	2	4	2	3	5	4	2
R00471	4	1	4	2	3	5	4	4	4	2	1
R00472	4	4	5	3	2	5	5	4	5	3	2
R00473	3	1	4	3	4	4	2	1	1	1	2
R00474	4	5	4	2	5	5	5	3	5	1	2
R00475	4	2	2	2	4	5	5	3	4	2	2
R00476	5	1	2	2	4	5	1	5	3	4	2
R00477	2	2	1	1	2	0	2	1	1	1	1
R00478	5	3	3	3	5	5	2	4	4	4	2
R00479	5	5	5	3	4	5	5	5	5	5	1
R00480	4	4	5	5	4	5	3	4	5	5	2
R00481	5	2	4	3	4	5	1	3	2	1	2
R00482	4	4	5	2	5	5	5	4	4	4	1
R00483	4	2	2	5	1	3	3	3	4	4	1
R00484	2	4	5	2	2	5	4	5	5	2	2
R00485	4	4	5	4	4	5	5	4	5	2	2
R00486	3	3	4	5	3	4	4	4	5	4	2
R00487	3	1	2	1	3	2	3	3	1	1	1
R00488	5	5	5	3	3	4	4	4	4	2	1
R00489	4	1	4	4	5	5	4	4	4	2	1
R00490	2	2	4	2	4	4	4	4	2	5	1
R00491	4	5	4	2	4	4	3	2	5	2	2
R00492	4	4	2	2	3	5	5	4	4	5	2
R00493	5	2	5	2	2	3	4	3	4	2	1
R00494	5	1	5	4	3	3	1	4	4	1	2
R00495	4	2	2	2	4	4	3	3	3	3	2
R00496	4	4	4	2	4	4	2	4	5	3	2
R00497	4	3	2	4	2	2	4	3	3	5	1
R00498	0	2	3	4	3	5	3	4	5	4	1
R00499	4	4	5	4	4	4	5	1	4	5	2
R00500	5	5	5	1	5	4	5	4	5	3	2
R00501	4	4	4	1	2	2	5	2	4	0	1
R00502	5	4	5	2	4	5	4	5	4	2	2
R00503	4	1	4	3	2	1	3	2	1	1	2
R00504	1	1	3	2	2	5	2	1	3	2	1
R00505	1	4	4	1	1	3	1	2	2	2	1
R00506	4	1	4	1	3	4	0	2	2	3	2
R00507	5	5	2	3	3	3	4	3	5	1	1
R00508	4	5	5	4	4	4	5	5	5	4	2
R00509	4	4	5	2	4	2	4	4	5	2	1
R00510	4	4	3	1	4	5	4	2	4	1	2
R00511	3	4	4	2	1	5	2	2	4	2	2
R00512	4	4	2	2	4	5	5	2	4	2	2
R00513	5	1	2	2	4	3	3	2	0	1	1
R00514	5	0	5	0	5	5	4	4	5	4	2
R00515	5	3	4	4	2	5	4	2	5	2	1
R00516	4	3	5	1	2	4	4	4	4	3	2
R00517	5	4	5	0	4	5	4	4	3	2	1
R00518	3	5	4	2	3	4	3	4	4	0	2
R00519	3	1	4	1	1	5	1	2	1	2	2
R00520	4	1	2	3	4	5	4	2	2	2	2
R00521	2	2	2	1	2	4	4	2	4	1	2
R00522	4	5	4	2	4	5	5	5	2	4	2
R00523	5	2	3	2	4	3	4	4	4	1	1
R00524	4	3	1	2	2	5	2	2	2	1	1
R00525	4	5	1	3	4	5	4	0	4	3	1
R00526	3	4	3	2	1	4	2	4	3	1	1
R00527	5	3	4	4	4	5	3	4	3	3	1
R00528	4	5	5	2	5	4	4	5	5	3	1
R00529	5	2	4	2	1	5	2	5	3	3	2
R00530	4	5	4	2	2	2	4	3	4	1	1
R00531	2	2	5	4	4	4	4	2	3	2	2
R00532	5	1	4	2	1	4	1	3	4	1	1
