HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
4	2	2	2	3	3	4	5	5	1	5	4	4	4	5	4	2	3	4	2	4	5	13	1	75	GB
3	3	4	5	4	4	4	5	2	5	1	4	1	2	4	5	2	3	1	4	0	2	15	1	100	US
5	2	1	1	4	4	5	4	5	2	5	4	4	5	4	4	3	2	4	3	4	2	44	1	73	US
5	5	5	5	4	5	2	5	4	5	2	2	0	5	3	4	4	4	5	4	4	2	17	2	97	GB
2	4	5	4	4	4	5	5	4	4	5	3	5	5	3	2	2	2	3	4	3	5	13	1	67	US
4	4	4	2	3	4	4	4	4	4	2	2	3	2	5	4	5	4	2	2	4	2	25	1	74	US
4	2	2	3	1	5	2	3	2	2	4	3	4	5	1	3	4	2	2	4	2	4	23	1	87	US
4	3	5	2	5	4	5	4	4	2	3	5	4	3	5	4	2	5	4	3	3	1	13	1	96	DE
3	2	5	1	3	4	5	1	5	2	1	2	4	4	4	4	3	2	2	3	4	3	43	2	71	US
5	4	4	4	4	5	5	2	5	5	4	3	1	4	1	2	2	2	3	3	4	2	34	2	96	US
1	0	4	2	5	5	4	3	4	5	4	4	2	1	4	3	3	4	3	4	4	2	30	2	75	US
5	4	4	2	4	4	2	5	2	3	4	4	4	5	3	4	3	2	3	5	5	4	29	1	92	AU
4	3	3	1	4	3	4	2	4	4	3	4	5	4	1	3	4	1	4	5	4	2	13	2	86	US
2	1	2	2	1	4	4	4	2	3	0	2	3	3	5	5	5	4	4	5	2	2	17	1	79	GB
5	2	5	2	5	5	5	4	4	4	4	2	3	1	4	2	2	2	1	1	4	1	31	2	60	US
5	5	4	5	5	3	3	2	4	2	1	1	3	1	3	3	2	4	1	4	2	1	19	1	90	AU
4	4	3	2	2	2	3	4	1	3	5	2	3	4	4	3	2	2	2	4	5	1	40	1	94	US
4	5	3	2	5	4	4	4	4	3	3	3	3	5	1	2	3	2	4	5	4	3	18	2	93	PL
4	2	1	2	2	3	1	1	4	2	1	2	2	5	2	1	1	2	3	4	5	4	14	2	66	DE
4	2	4	2	4	5	4	2	5	1	1	1	5	2	2	2	3	1	1	2	2	3	19	2	98	US
2	2	2	5	4	5	4	2	5	2	1	4	2	4	4	3	2	2	2	4	1	3	20	2	69	AU
4	1	2	2	4	5	4	2	2	2	0	1	2	4	3	1	0	1	2	4	1	2	16	2	69	CA
4	3	4	1	4	4	4	4	2	5	2	5	2	5	4	4	5	5	4	5	5	1	13	2	85	US
4	2	3	1	3	4	2	2	4	1	5	1	3	3	5	3	2	2	4	5	4	3	27	1	84	US
5	2	2	2	2	3	4	2	3	1	3	5	2	2	4	4	5	2	2	2	1	3	19	1	82	US
4	4	5	5	3	4	4	4	4	1	0	0	2	2	3	5	4	2	2	4	4	1	27	3	87	US
3	5	4	4	5	5	4	3	5	4	1	2	4	4	5	4	4	3	1	4	2	1	19	1	97	US
5	5	5	4	4	5	5	4	5	4	5	2	2	3	3	4	4	1	2	5	4	1	19	1	96	US
4	3	4	2	4	5	3	2	5	2	1	1	3	1	2	3	3	3	1	4	1	1	16	2	88	US
3	2	5	2	4	4	4	1	3	5	2	5	4	5	1	1	1	2	3	4	2	3	21	1	97	IN
4	2	5	2	1	4	3	0	4	3	1	2	4	3	4	3	3	1	1	3	3	1	23	1	87	US
3	5	0	1	4	3	5	2	5	3	1	5	4	3	4	1	1	2	4	2	3	4	31	2	99	US
5	5	4	4	5	4	5	5	4	5	2	1	3	5	4	3	2	2	1	1	2	2	23	1	78	US
4	0	4	3	5	5	4	5	5	2	1	1	4	2	4	4	4	4	5	5	3	2	26	2	78	GB
5	4	2	1	2	5	1	1	4	2	1	1	2	1	2	1	4	1	3	1	3	4	24	1	55	US
4	2	4	2	2	2	1	2	5	3	2	2	4	5	4	2	4	2	2	4	2	3	22	2	78	GB
3	2	3	3	2	5	4	2	4	2	1	1	4	5	4	3	3	2	0	5	4	2	33	1	80	US
4	4	4	2	3	5	5	1	4	4	4	2	4	5	2	2	3	2	5	4	5	4	18	2	89	US
4	4	5	4	4	5	5	3	4	3	5	3	2	4	3	2	0	2	4	4	4	2	52	2	98	US
5	2	5	3	5	5	4	3	4	3	2	4	4	4	3	2	3	3	4	4	4	4	24	2	74	US
5	2	4	4	4	5	5	3	2	4	5	5	3	5	4	3	2	2	5	4	5	3	23	2	56	US
5	4	5	2	5	2	5	1	2	4	1	1	5	4	4	1	2	1	3	4	2	4	13	2	86	US
5	4	5	3	5	5	5	4	5	5	1	5	5	4	4	5	4	2	5	5	4	4	17	2	85	US
5	5	5	2	5	5	5	5	5	0	2	4	5	4	4	5	5	4	4	5	4	3	16	2	67	US
4	2	4	3	4	5	5	2	2	2	2	2	2	1	3	3	1	2	4	4	4	1	37	2	95	US
5	4	4	4	4	5	5	5	3	4	4	4	4	5	3	4	2	1	5	4	3	3	14	2	50	US
3	4	5	4	5	4	4	4	4	1	4	3	5	5	4	2	1	2	5	5	4	4	20	1	97	US
5	2	5	1	2	3	4	1	4	4	1	1	1	1	5	5	3	2	1	1	1	1	24	1	90	US
4	3	2	2	2	5	2	4	4	2	4	4	4	4	4	2	2	1	4	4	4	2	15	2	74	BR
4	3	5	1	2	4	4	1	2	2	2	2	5	5	2	4	5	2	5	5	4	3	22	2	88	GB
1	3	2	3	4	2	3	1	4	4	5	2	4	2	5	5	5	5	2	5	4	3	24	2	90	AU
4	1	1	4	3	2	4	4	4	2	4	2	2	4	5	5	5	2	2	4	1	2	25	1	89	CA
3	4	5	2	3	5	4	2	2	2	2	2	1	4	5	4	2	2	0	3	4	2	20	2	93	US
4	4	4	4	3	2	1	4	4	1	1	2	5	5	4	3	4	3	5	5	3	3	31	1	84	US
4	1	2	5	4	3	4	2	4	3	3	1	4	3	4	5	1	2	4	4	4	4	16	2	80	DE
5	4	3	4	5	5	1	4	4	1	2	2	4	4	2	3	3	4	4	4	4	1	42	1	92	AU
2	2	4	4	2	4	4	2	3	2	4	2	5	5	1	1	3	2	4	5	4	4	24	2	96	US
3	4	5	1	4	4	4	4	4	2	2	2	1	3	2	2	1	2	2	2	1	2	26	2	88	US
4	4	1	1	1	4	2	1	3	2	3	1	4	5	3	3	2	2	5	4	4	4	25	1	52	IN
3	4	3	4	3	4	4	2	5	5	2	2	2	4	5	4	5	2	2	5	4	2	19	1	95	GB
4	2	3	2	5	5	4	2	4	2	3	1	4	2	5	5	3	5	4	2	4	2	14	1	82	US
4	1	0	1	2	4	1	2	4	1	2	2	4	4	3	4	1	4	5	5	5	3	13	2	96	SE
4	3	1	2	3	4	4	3	4	2	3	2	4	5	2	3	5	5	5	4	4	4	19	1	77	GB
5	2	4	3	4	4	0	4	2	2	3	1	1	3	2	2	2	1	1	4	2	2	31	1	98	US
5	4	5	4	4	3	4	5	3	4	2	4	4	4	4	5	1	3	4	4	4	4	28	1	85	US
5	5	5	5	4	4	4	3	5	5	5	3	2	4	3	3	3	2	3	4	4	4	15	1	60	US
4	4	4	3	2	4	5	3	3	4	5	3	4	4	2	2	2	2	4	5	5	2	15	1	66	US
3	2	2	3	2	4	4	4	3	1	1	3	1	2	5	5	2	3	1	4	2	2	21	2	97	US
5	4	3	4	4	5	3	4	5	2	1	1	4	3	4	1	3	1	3	4	2	2	24	1	72	US
3	3	5	1	4	4	3	3	1	1	2	2	3	3	1	3	1	2	2	5	4	2	46	1	76	BR
5	4	5	3	5	5	5	5	4	3	4	0	5	5	5	5	5	3	5	5	3	5	20	1	53	US
4	1	4	1	2	3	2	2	1	1	1	3	2	4	4	3	2	3	4	4	4	2	24	1	52	US
5	2	3	4	3	5	5	2	5	4	2	1	1	3	4	4	2	5	1	4	4	1	50	2	73	US
4	2	3	4	3	5	5	4	3	1	2	2	2	3	1	4	4	3	2	4	1	1	19	1	81	GB
1	1	2	4	2	5	3	4	3	2	4	5	3	5	2	1	3	2	4	5	4	3	16	1	60	US
3	2	1	2	5	4	4	3	2	1	1	4	5	5	5	4	4	3	4	2	4	2	13	1	65	AU
5	4	4	2	4	4	4	4	4	1	4	3	4	5	4	1	4	2	4	5	5	4	22	1	84	US
4	3	2	1	3	2	4	4	2	3	4	4	3	5	1	1	1	1	4	4	4	5	37	1	76	CA
1	5	5	2	5	5	5	3	4	4	4	4	0	3	4	2	3	2	2	4	5	5	59	2	96	US
3	2	4	2	4	5	5	4	3	5	5	5	4	5	1	1	1	1	5	4	4	3	25	2	94	US
4	5	5	2	5	5	5	3	4	4	4	3	5	5	5	3	5	2	4	5	5	5	29	2	78	US
2	2	2	2	4	5	4	4	4	4	0	1	2	2	1	2	1	1	1	4	4	3	13	2	85	US
3	4	3	4	2	4	1	2	4	1	4	4	5	5	5	3	5	3	0	5	5	3	24	2	96	PH
4	2	4	2	3	3	3	4	2	1	5	0	5	3	4	2	3	2	4	5	5	3	38	1	88	US
5	4	5	2	4	4	2	1	2	4	2	2	3	3	3	4	4	1	5	3	5	3	18	1	82	CA
5	3	4	2	2	5	3	1	4	2	5	2	4	3	5	4	4	3	4	5	4	4	22	1	85	SE
4	4	4	4	2	5	4	4	4	4	5	3	4	5	0	0	4	2	4	5	5	2	18	1	99	US
4	1	4	2	1	2	4	2	3	2	3	2	4	4	4	3	1	1	4	5	3	2	20	1	93	US
5	5	4	5	4	5	4	3	3	5	2	2	2	1	5	3	5	2	2	4	1	2	26	1	73	US
5	5	4	3	4	4	3	4	1	5	4	5	5	5	4	0	5	3	5	5	5	4	19	1	84	IN
4	4	5	3	5	3	5	4	5	5	1	1	1	3	4	2	3	2	2	1	1	2	16	2	92	US
2	2	2	1	1	3	2	3	3	1	4	2	2	3	2	4	4	3	1	4	4	1	52	2	56	AU
2	3	3	2	3	4	5	2	3	3	5	2	5	4	3	2	1	2	4	3	5	2	14	2	99	US
5	5	4	2	4	4	4	3	5	4	1	1	2	4	2	2	4	2	1	3	5	2	37	1	93	IN
2	2	4	2	5	4	4	2	3	2	4	4	4	4	4	4	3	4	4	5	4	5	27	1	95	GB
4	3	3	1	5	3	5	2	4	2	1	1	1	2	5	3	3	4	3	3	4	2	22	2	61	CA
5	3	5	4	4	5	3	4	2	4	2	1	1	3	4	4	3	5	3	3	1	1	22	2	56	US
2	3	1	2	2	5	4	5	5	1	2	2	4	4	4	4	4	1	5	4	5	4	24	1	93	GB
2	1	3	2	2	1	4	3	1	1	5	1	5	5	5	4	4	4	4	5	4	2	16	1	87	US
5	4	3	2	4	4	4	4	4	4	4	2	3	5	3	4	2	2	4	5	3	4	21	2	96	GB
2	2	4	1	1	3	4	1	1	4	3	4	5	5	4	4	4	2	4	5	5	4	19	2	75	US
4	2	1	1	5	5	2	4	3	1	2	5	5	5	4	4	3	1	2	5	2	2	18	1	71	GB
5	5	4	2	5	3	4	4	5	4	2	2	5	4	4	4	5	4	3	4	2	4	22	1	98	US
4	2	1	2	1	4	4	2	4	1	5	2	2	5	2	2	5	1	5	5	5	2	18	3	74	BR
2	1	5	1	2	5	4	2	4	2	4	3	4	4	4	2	3	4	4	4	2	4	42	2	86	US
4	2	3	5	2	5	2	4	2	1	5	2	3	5	5	5	5	4	0	5	4	2	34	1	84	US
4	3	5	2	5	5	4	5	5	3	1	2	5	4	4	4	5	2	5	4	4	2	13	1	94	CA
5	4	4	2	4	3	2	4	3	2	4	4	2	3	5	5	2	4	4	4	5	3	24	1	99	US
3	2	4	2	3	5	5	4	5	2	4	4	4	5	4	4	3	4	2	4	4	4	20	2	96	US
4	4	4	4	5	4	2	3	4	3	1	5	2	4	5	4	4	4	4	4	2	1	31	2	96	CA
4	5	5	2	3	4	5	5	5	5	1	2	2	4	4	5	5	4	2	4	2	2	36	2	78	US
3	3	5	2	2	3	3	3	1	1	4	4	5	3	4	4	3	3	5	5	5	4	47	1	71	US
5	4	4	4	5	5	5	4	5	1	3	4	5	5	4	4	5	3	4	5	3	4	25	1	86	US
1	1	5	1	3	3	4	2	1	2	5	2	5	4	5	5	0	4	5	5	5	3	25	2	81	US
3	5	3	2	3	3	3	3	5	5	1	3	4	5	4	4	4	2	4	4	4	3	20	1	84	US
5	4	2	1	2	4	4	4	2	1	4	4	4	5	1	1	2	2	5	4	4	3	17	1	64	GB
2	3	2	2	4	4	1	4	2	1	4	5	5	5	5	4	5	5	3	4	3	4	31	1	72	DE
2	4	1	3	4	5	4	4	4	2	1	1	2	1	4	5	4	3	1	2	2	1	37	1	66	US
4	4	4	3	2	5	5	2	5	3	3	3	4	5	2	0	4	4	2	2	4	3	18	2	87	GB
5	5	4	2	3	4	5	2	4	2	3	3	4	5	4	1	3	2	4	3	5	4	30	1	97	PL
4	4	5	2	3	4	4	3	5	5	4	3	5	4	3	1	2	1	5	5	5	5	31	2	54	US
3	2	3	2	3	4	4	5	4	1	2	1	1	2	4	4	5	3	1	3	1	1	27	1	95	AU
4	3	4	3	5	4	5	4	5	5	1	3	2	3	5	4	4	3	1	4	4	1	25	2	70	US
4	4	5	5	2	5	4	5	5	4	2	3	5	5	3	1	3	3	3	5	2	2	25	1	95	US
4	5	5	1	4	5	4	0	3	3	4	1	5	3	4	2	2	3	3	4	4	1	15	2	90	US
4	2	5	5	4	3	2	5	4	5	2	1	2	3	5	4	4	1	1	4	2	1	14	2	80	DE
5	4	1	5	5	4	5	4	5	3	2	2	2	4	2	3	3	1	1	3	2	1	65	1	82	US
2	2	3	4	4	5	3	2	4	4	2	3	5	5	5	5	4	3	5	2	4	5	30	2	85	US
4	3	4	3	4	4	4	1	5	2	5	4	2	5	4	2	3	3	5	4	5	3	27	3	84	US
3	2	3	2	2	4	4	1	1	1	1	4	1	5	3	1	2	1	4	4	2	3	19	2	94	CA
3	5	5	3	5	5	4	4	5	2	2	2	5	5	4	3	4	4	5	5	2	3	13	2	96	GB
1	1	0	2	2	2	4	2	4	1	1	1	3	3	5	4	5	2	4	4	2	1	35	1	95	PL
2	4	4	2	4	4	4	1	3	3	2	3	3	2	5	4	4	2	2	5	0	3	16	2	96	US
5	4	5	4	5	5	5	4	5	5	1	3	5	5	2	4	4	1	4	4	4	2	44	2	77	US
5	4	4	3	4	5	5	2	5	4	1	4	4	2	5	5	3	5	1	5	4	1	32	1	95	CA
2	1	3	2	2	3	4	1	4	1	4	4	3	3	2	2	2	2	2	4	1	2	17	2	100	GB
2	4	4	2	1	4	2	4	3	2	4	3	5	5	3	4	4	3	5	5	2	4	25	2	94	AU
4	4	5	2	5	4	5	4	4	5	2	5	4	4	4	2	2	1	3	4	3	4	31	1	71	US
1	2	4	3	2	0	3	2	1	2	4	4	5	5	2	3	2	1	5	4	2	4	23	1	92	IN
5	5	4	4	2	5	4	4	4	2	1	4	5	4	2	3	2	4	5	4	5	3	25	1	92	GB
2	1	4	2	1	2	1	2	4	4	1	4	2	0	3	4	2	2	4	3	2	4	20	2	90	US
4	4	3	2	4	5	2	2	4	1	4	5	4	4	5	5	4	4	5	5	5	5	42	1	52	GB
5	4	4	2	5	4	3	4	4	3	2	2	3	4	4	2	2	1	1	4	4	1	32	1	88	US
5	5	3	2	5	5	4	5	5	5	3	2	4	4	3	4	4	5	1	2	2	1	26	1	97	US
5	4	5	3	5	5	4	5	5	5	2	2	2	4	5	5	4	2	1	3	4	2	37	1	93	US
3	4	5	1	4	4	5	1	4	2	4	3	3	4	4	4	5	4	4	5	4	3	13	2	91	US
5	2	4	2	1	3	2	2	4	1	5	2	4	5	3	2	5	3	4	5	4	3	17	1	51	US
4	5	5	3	0	4	2	4	3	3	1	1	1	2	4	5	4	3	1	4	4	0	13	1	91	PL
4	5	5	4	5	5	4	4	3	4	3	4	2	4	5	4	4	2	3	1	5	2	27	2	89	US
2	5	1	2	4	3	4	5	4	1	2	4	5	4	3	5	3	2	2	5	4	4	22	1	79	GB
3	2	1	1	4	4	5	2	2	1	5	3	4	5	4	5	2	1	4	5	4	2	22	2	73	US
3	4	4	2	3	4	4	2	3	3	1	5	4	5	4	5	4	5	3	5	3	4	32	2	94	US
3	4	3	3	5	4	3	3	3	2	5	2	4	3	5	4	4	3	1	5	2	3	16	1	93	US
4	1	4	2	2	5	4	4	4	1	2	2	3	5	4	3	5	1	4	4	5	2	20	1	87	US
4	5	5	2	4	5	5	5	5	3	1	2	2	2	4	5	4	0	3	3	2	3	24	1	67	US
3	5	1	2	4	4	4	4	4	2	4	4	5	5	4	2	3	1	5	4	4	4	24	1	93	US
4	3	5	2	3	4	4	2	3	2	1	1	1	1	5	4	2	2	1	2	2	1	14	1	81	US
5	2	4	3	4	4	4	1	4	1	3	2	5	5	1	1	1	1	5	5	5	4	19	2	79	US
0	4	5	0	3	5	3	4	5	1	4	3	4	3	3	2	2	3	2	5	3	4	17	2	95	US
5	1	5	2	4	5	3	4	3	2	4	5	5	4	4	3	4	4	4	4	4	0	15	1	90	GB
4	1	2	2	4	2	2	2	4	2	3	2	2	4	2	2	1	3	3	4	4	4	13	1	81	CA
4	4	4	5	2	5	4	3	4	3	5	4	4	5	4	4	3	3	4	2	5	4	27	3	92	US
2	2	2	2	4	1	1	2	4	2	1	2	2	5	4	5	5	5	4	1	4	3	27	2	90	AU
5	1	2	2	1	4	4	2	4	2	4	1	1	4	2	1	1	2	4	3	4	3	28	1	87	US
4	4	3	2	3	5	4	3	4	5	1	2	4	4	3	2	1	1	2	3	4	2	20	2	86	US
3	4	5	2	4	4	5	1	5	2	4	5	0	4	4	2	1	1	4	5	4	5	30	2	94	US
4	5	5	3	5	5	5	2	5	4	2	2	1	1	4	3	1	2	1	3	4	1	13	2	91	US
5	2	5	4	3	5	4	4	5	5	4	1	4	3	5	2	3	3	1	4	1	1	35	2	76	GB
5	2	2	2	1	4	2	2	5	4	4	2	3	3	4	3	4	4	4	3	4	4	20	2	74	CA
5	3	1	1	2	4	2	3	1	4	1	1	2	2	4	0	3	4	2	1	1	1	28	1	41	CA
5	4	1	4	2	4	4	5	5	4	1	5	3	2	4	5	4	5	3	4	4	2	30	1	57	US
2	2	1	1	2	4	2	1	3	1	2	2	1	5	2	1	2	1	4	4	4	1	27	1	92	US
3	3	4	3	4	1	3	5	4	2	4	1	4	5	3	3	2	2	5	4	4	4	20	1	92	US
5	2	4	0	5	5	4	3	4	1	1	1	5	1	4	3	3	2	3	4	4	1	19	1	64	US
5	4	4	5	4	4	5	3	5	4	5	5	3	5	4	4	2	2	5	5	4	5	22	1	89	US
1	2	2	4	2	5	3	1	3	2	2	5	3	4	2	3	3	2	2	4	2	3	23	1	58	US
4	3	4	3	3	4	5	5	5	1	1	1	1	3	4	4	2	4	4	4	4	2	21	1	82	US
4	4	5	0	4	5	5	5	4	4	1	1	3	1	4	4	4	1	4	4	2	1	50	2	94	US
2	4	4	1	4	2	5	2	5	3	2	0	2	5	3	0	2	2	4	4	1	2	16	2	88	US
1	1	1	3	4	4	2	2	1	1	5	2	3	2	2	2	4	1	2	2	5	2	16	1	93	DE
5	3	5	3	5	4	0	4	5	5	1	4	1	2	4	5	5	5	2	4	3	1	20	2	88	US
2	1	5	1	3	4	2	2	2	4	1	1	2	4	3	3	3	3	1	1	2	1	17	2	70	US
5	4	5	5	5	5	5	2	3	3	4	2	2	4	5	4	3	4	4	2	4	2	19	1	76	PL
4	1	4	2	3	2	4	2	1	1	2	5	5	4	1	1	3	2	5	4	5	4	16	1	93	US
5	5	4	2	5	5	5	3	5	4	4	5	3	5	2	2	2	1	4	5	5	2	18	1	95	US
3	4	4	4	4	5	4	3	5	3	1	5	3	4	5	5	4	3	3	5	5	1	22	1	61	CA
2	4	4	5	2	5	1	2	4	2	3	1	4	5	4	4	5	4	1	3	4	1	40	1	76	US
5	4	3	4	4	5	5	5	5	4	2	3	4	5	5	3	2	3	5	4	4	3	21	1	95	US
4	4	4	3	4	5	5	4	5	4	2	1	1	4	5	3	5	4	3	5	2	1	22	1	86	US
2	2	4	1	2	5	4	1	4	2	1	1	3	4	5	4	4	3	1	2	1	2	22	2	94	US
5	1	4	1	3	5	3	3	3	1	3	5	4	4	5	3	4	2	2	4	1	2	24	1	84	GB
4	4	5	2	2	4	4	4	2	2	4	2	2	4	4	5	4	2	3	5	3	2	17	1	92	IN
4	5	4	2	5	5	4	4	4	4	5	3	2	3	3	1	3	1	5	4	5	4	19	2	92	US
4	3	4	3	4	4	4	5	5	5	2	2	4	4	4	2	4	2	2	1	4	2	17	1	70	AU
4	4	4	5	4	4	4	1	4	1	4	5	4	4	4	1	3	1	4	5	5	4	22	1	89	GB
5	4	3	2	3	5	4	2	5	2	4	1	1	4	4	3	4	2	2	2	1	4	37	1	83	CA
4	4	5	4	3	5	3	2	3	2	1	2	2	3	5	4	2	4	1	1	4	2	20	1	70	GB
4	2	5	3	5	4	0	2	2	2	5	3	3	5	2	2	4	1	4	2	2	4	26	2	75	US
0	3	5	1	3	5	3	2	3	1	4	4	2	5	1	1	3	1	2	4	3	4	26	1	53	US
4	2	1	1	1	4	5	3	4	4	1	2	2	3	5	4	4	2	3	3	2	2	33	1	97	US
5	5	4	2	5	5	4	4	5	5	5	5	5	5	4	2	4	2	3	5	5	4	18	2	67	AU
1	1	5	1	1	3	4	1	2	1	2	4	1	4	5	4	0	1	4	5	3	2	13	2	99	US
4	2	4	1	3	3	1	2	5	2	2	2	2	4	3	3	4	2	2	5	5	3	15	2	91	GB
5	4	4	4	5	3	5	3	4	3	5	2	4	4	5	5	5	4	2	4	4	1	27	1	85	US
5	5	5	2	5	5	5	4	5	4	5	3	4	5	4	1	2	1	4	4	4	0	30	2	95	US
5	4	4	4	4	5	4	4	3	2	3	5	4	3	4	2	1	1	5	4	4	3	17	1	63	US
4	3	4	1	3	3	5	1	4	3	4	1	5	4	4	4	4	1	4	4	3	2	19	2	79	US
5	5	5	3	5	3	3	3	4	2	5	2	5	5	4	4	3	2	4	4	4	4	18	1	60	AU
4	1	0	3	2	4	3	3	5	1	2	3	2	5	4	4	4	4	3	4	5	3	16	2	89	GB
4	5	4	2	4	5	5	3	3	2	4	3	2	5	1	1	3	1	5	4	5	4	30	2	51	US
4	3	5	3	2	5	4	2	5	5	1	3	3	1	2	3	2	2	3	5	4	4	19	2	85	US
5	4	4	3	5	4	5	5	5	5	2	2	4	4	4	2	2	2	3	4	4	5	20	2	77	US
4	5	5	3	4	5	5	4	2	5	2	2	1	4	3	3	3	3	4	5	2	4	33	1	74	GB
5	2	2	2	3	2	3	3	5	1	4	2	1	4	5	5	2	5	3	4	3	1	22	1	78	GB
2	4	5	4	2	4	1	2	2	1	5	4	5	5	1	2	3	1	2	3	5	5	26	1	72	US
4	4	4	2	4	4	4	2	4	2	2	1	3	4	4	2	3	1	2	5	4	2	19	0	43	US
3	1	4	2	2	3	2	3	4	1	3	5	4	5	4	2	3	4	3	3	2	2	16	1	90	US
2	5	3	2	3	3	4	1	3	1	2	1	2	2	4	5	3	5	3	1	1	1	30	2	94	GB
4	4	4	4	2	3	5	3	3	1	1	1	4	4	0	2	2	3	3	3	4	2	44	2	81	SE
5	4	4	4	5	4	5	2	4	3	2	2	1	5	4	2	3	2	1	1	0	2	20	2	79	US
4	1	4	4	2	4	2	3	2	2	4	4	4	5	5	2	3	2	5	4	2	2	19	1	66	US
2	1	1	2	1	2	2	1	2	1	1	5	1	3	3	4	1	1	4	4	2	1	17	1	97	US
2	2	3	2	4	4	3	4	3	3	1	2	1	5	4	4	5	4	1	2	1	1	17	2	83	US
4	5	5	2	4	5	5	5	5	0	3	1	1	1	4	5	3	2	2	2	2	1	20	2	78	CA
4	2	5	3	2	4	4	2	3	3	1	2	4	4	3	3	2	2	4	4	4	3	21	2	88	US
3	1	4	1	2	4	3	1	4	2	1	1	1	5	1	1	1	1	1	3	4	2	13	2	76	US
2	4	4	2	2	5	5	3	3	1	3	3	3	5	4	4	4	3	3	4	4	2	36	2	68	PH
