participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	gender	behavior
T00084	3	2	1	2	3	5	5	3	2	1	1	0.13037254494334208
T00085	4	3	5	4	4	4	3	4	4	1	1	0.770602348468608
T00086	5	5	4	4	3	5	4	3	2	4	1	-0.8649964226753217
T00087	4	3	4	1	2	2	4	2	2	1	1	-1.2027919469283679
T00088	4	2	1	5	3	4	5	3	5	2	1	0.28474958099656467
T00089	4	3	5	4	5	5	4	5	4	5	2	0.9895209947409691
T00090	4	1	5	3	3	4	4	5	5	3	2	-0.7310262560156684
T00091	4	3	2	3	2	4	4	2	2	2	1	0.8208950776726739
T00092	5	2	5	4	4	4	4	4	4	2	1	-0.6118934762806829
T00093	5	4	5	2	4	4	5	4	5	4	2	0.5400652824096146
T00094	4	2	4	5	5	5	3	4	5	4	2	0.39010287106562874
T00095	2	2	5	2	4	5	5	5	3	2	2	0.3984336978032133
T00096	5	4	4	5	5	4	5	5	5	5	2	1.0572308803919586
T00097	5	4	5	2	0	5	4	4	5	2	1	0.273462625797229
T00098	4	4	5	5	4	5	5	5	5	3	1	0.3832458840250233
T00099	4	3	1	2	2	5	5	2	4	5	1	-0.21315624657414034
T00100	5	4	5	5	5	4	4	5	4	4	2	1.1359204988620681
T00101	5	5	4	3	4	3	3	4	4	4	1	-0.7226515978012027
T00102	5	5	5	5	5	5	5	5	5	0	2	0.9898634732380516
T00103	4	1	4	3	2	4	4	2	5	2	2	-0.11159986516791914
T00104	2	4	2	3	3	2	4	4	3	2	1	-1.0702961422741
T00105	5	2	4	2	4	4	4	3	5	2	1	-0.41909571744437824
T00106	5	5	4	4	4	5	5	5	4	5	1	0.3182523034066291
T00107	4	2	5	3	4	5	4	4	5	2	1	-0.7568189546120145
T00108	4	1	3	5	4	5	5	4	2	2	1	0.2846383642317522
T00109	4	1	4	1	2	4	5	3	5	4	1	0.09017363928344063
T00110	5	5	5	3	5	5	5	5	5	4	1	1.2859936256396616
T00111	4	5	4	5	4	3	5	5	5	3	2	1.6749658429359324
T00112	4	5	5	2	3	2	5	2	3	3	2	0.22311059605415934
T00113	5	1	2	4	2	4	2	2	2	4	1	-0.77161111313072
T00114	5	4	4	4	2	5	4	4	4	4	2	1.23477260513698
T00115	5	5	4	5	4	4	4	4	5	4	2	0.8170796463668072
T00116	3	2	2	2	3	5	2	4	3	1	2	-0.1729948927090684
T00117	5	4	4	5	5	5	5	5	5	5	1	0.47989209385724835
T00118	5	4	4	4	4	5	4	2	5	4	2	2.192613285699185
T00119	5	5	4	5	5	5	4	4	5	5	2	0.9818591263871742
T00120	5	5	5	4	3	4	5	5	5	4	1	1.5751193486593826
T00121	5	5	5	5	5	5	5	5	4	3	2	2.867191138297751
T00122	4	2	2	2	4	4	4	4	2	2	1	0.3093976434379297
T00123	4	1	1	1	4	3	1	2	4	2	1	-0.9062611200299565
T00124	5	2	5	4	5	5	4	4	5	3	1	-0.15801926953092282
T00125	5	5	5	3	5	5	5	4	5	2	2	0.25749936624205505
T00126	4	2	4	5	5	3	4	4	5	3	1	0.22619614609285285
T00127	4	4	1	4	3	5	4	2	5	1	1	-0.6353655144889526
T00128	4	3	1	4	2	4	5	4	5	4	2	-0.27128431871705805
T00129	4	4	5	4	5	5	4	5	5	4	1	-0.16241095415708798
T00130	5	5	2	5	4	4	4	4	5	2	1	-0.3299220173610802
T00131	5	5	4	4	4	5	4	5	5	5	2	0.25012126927175904
T00132	2	2	3	1	2	4	1	1	3	0	1	-1.0114414239112524
T00133	4	5	5	5	4	5	5	5	3	4	2	0.6347312814495272
T00134	5	4	5	4	5	5	4	5	2	5	1	1.7887705232614612
T00135	2	3	2	1	1	5	2	2	1	2	2	1.5707794727147355
T00136	3	4	4	2	2	4	3	2	5	2	1	-0.9861765374630094
T00137	4	5	4	1	4	4	4	4	4	4	1	0.25142934316098814
T00138	4	4	5	4	4	5	4	2	4	4	1	-0.14070163897111784
T00139	5	3	5	4	3	4	4	4	4	2	2	1.9144478860850023
T00140	4	5	5	3	4	5	5	5	5	5	1	-0.26063778627427026
T00141	3	3	2	2	2	3	3	1	1	4	1	0.12056212500469005
T00142	5	5	4	5	2	5	5	4	5	3	2	-0.18212315083026342
T00143	4	4	5	4	4	4	5	5	4	2	2	0.3582574555980369
T00144	2	2	2	2	1	3	4	1	2	1	1	-0.9103915665926676
T00145	5	2	3	1	4	5	3	4	4	2	1	0.10625809342143927
T00146	5	3	4	3	4	5	4	2	5	2	2	0.44573356386028823
T00147	4	4	5	3	4	5	4	5	4	4	1	-0.24612158174818294
T00148	1	1	2	2	2	4	4	3	2	1	1	0.023114452179142653
T00149	4	2	4	4	4	4	4	2	4	2	1	0.034205169968826485
T00150	5	0	4	5	5	4	5	4	5	4	2	0.9165701007822932
T00151	5	3	0	2	2	4	4	4	5	2	1	-0.5738789694065236
T00152	3	4	2	4	4	4	5	5	5	2	2	1.9082789352763325
T00153	4	5	4	2	4	5	4	5	4	4	2	0.31133402326425597
T00154	4	5	4	5	4	4	2	5	5	4	2	-0.2465409535778812
T00155	4	2	3	4	4	4	2	4	4	3	1	-0.9663442580231398
T00156	4	4	2	2	4	5	5	2	4	1	1	-0.2827537336121808
T00157	2	1	3	3	2	4	2	3	2	3	2	-0.03364743970807571
T00158	4	2	3	3	3	5	2	3	5	1	1	1.0618318679293144
T00159	4	5	5	5	3	5	4	5	4	5	1	1.2285149095582084
T00160	5	5	5	4	4	5	4	5	4	5	2	0.4893995510029416
T00161	5	4	5	2	4	2	3	5	4	3	1	0.6070074987574443
T00162	2	3	4	1	2	4	2	2	2	1	1	-0.7736681440123885
T00163	4	4	4	2	3	4	1	2	4	5	1	0.4102064443215079
T00164	3	2	4	1	2	3	2	3	3	2	2	-1.0352136973785289
T00165	2	3	3	3	4	5	2	4	4	3	1	0.39438389510306693
T00166	3	3	3	2	4	5	3	4	2	2	1	-0.08544240897896509
T00167	4	0	2	4	4	4	3	4	4	1	1	-0.1210955589449926
T00168	5	4	4	4	5	2	5	3	5	0	2	-0.3998340809333376
T00169	3	3	1	2	1	5	2	3	1	1	1	0.020351828892283153
T00170	5	4	5	5	4	5	4	5	5	4	2	0.7242544880124421
T00171	5	5	5	4	5	5	5	5	5	4	2	1.6287693163266441
T00172	1	1	1	2	3	0	3	3	5	1	1	-0.08718110436000776
T00173	4	2	2	2	3	3	2	2	5	2	1	-1.0236928717594092
T00174	3	1	4	1	1	4	2	1	4	1	1	-0.3926752894790184
T00175	5	4	5	5	4	5	5	5	5	4	2	1.6235275546332524
T00176	4	3	4	4	2	4	4	3	5	2	1	0.5052354744378399
T00177	4	3	3	3	5	5	4	1	4	1	1	-0.8685365167201766
T00178	4	4	5	5	4	5	4	5	0	0	1	-0.8324355607613783
T00179	5	4	3	5	4	5	4	4	5	5	1	0.6189247983868345
T00180	3	1	3	2	4	3	4	4	5	2	1	-0.4890953204128267
T00181	5	5	5	5	5	5	5	5	5	5	2	0.2549746339007215
T00182	0	5	4	2	5	5	5	4	4	5	2	1.964981098945755
T00183	4	1	2	4	5	4	2	2	4	2	1	-0.6917285377452069
T00184	5	5	5	5	5	5	5	5	5	5	1	0.7542599449202866
T00185	5	5	4	2	3	5	4	4	5	5	2	0.09106114519227598
T00186	5	5	5	3	5	5	5	5	5	5	2	1.7485701581872994
T00187	4	3	3	4	5	5	4	3	5	2	1	0.05601902712022931
T00188	3	5	2	1	4	4	4	3	4	1	2	0.8441069089448832
T00189	5	4	4	5	5	5	4	4	4	5	2	0.35633496814435794
T00190	2	5	4	5	5	5	5	3	5	5	2	1.3327276116000364
T00191	4	0	5	4	4	4	4	4	3	1	1	0.211146933740137
T00192	5	1	1	3	4	5	5	1	5	4	1	0.08718819115583976
T00193	5	5	3	3	4	4	4	4	5	2	1	-0.2652129927211332
T00194	5	4	4	5	4	4	5	5	5	5	2	0.9722337443830418
T00195	3	5	4	2	4	5	4	3	5	5	1	-0.9565048995198195
T00196	5	5	5	5	4	4	5	5	5	5	2	1.6595715378403744
T00197	5	5	5	4	4	5	4	5	5	4	1	0.42512071953194785
T00198	2	4	2	3	2	5	4	4	4	2	2	0.8431317535311758
T00199	3	4	5	3	5	5	4	4	2	4	1	0.022971672040415926
T00200	5	3	4	4	3	5	4	2	4	3	1	-0.47850818311420196
T00201	5	5	5	5	5	5	3	5	5	1	2	0.12155390678147393
T00202	4	1	4	2	4	4	4	2	2	1	2	0.810759721816527
T00203	5	5	4	3	5	4	4	4	5	3	2	-0.22309263239660482
T00204	5	3	4	4	3	5	4	5	3	2	2	2.2596554011735814
T00205	2	1	1	2	1	3	2	1	3	1	1	-0.7863893923497178
T00206	4	2	1	3	2	1	3	4	3	2	2	0.4859579002541129
T00207	4	3	4	2	4	4	3	2	5	2	2	0.7397740591720734
T00208	5	5	5	3	4	5	4	4	5	5	1	-0.4542770479859425
T00209	4	3	4	2	5	5	3	4	4	2	2	-1.3998742784746767
T00210	4	5	4	2	4	5	4	5	4	3	1	-0.47623318745819077
T00211	5	4	5	4	5	4	3	4	4	3	2	1.181545736483956
T00212	5	5	5	5	4	4	5	5	5	4	2	2.5165131777081102
T00213	5	5	5	5	4	4	4	3	5	2	2	0.38378826956035633
T00214	5	3	5	5	3	5	4	4	4	5	2	-0.12287017122246502
T00215	5	5	5	3	5	5	5	3	5	5	2	0.4939361000492126
T00216	5	4	5	4	4	5	4	4	4	4	1	1.168033658444577
T00217	4	3	5	1	3	4	4	5	4	2	2	1.585773103449665
T00218	4	3	5	1	3	5	2	2	4	1	1	-0.15302632121385984
T00219	5	2	4	4	5	4	5	4	5	2	1	1.8061921453284966
T00220	5	4	4	3	4	4	5	4	3	4	1	-0.27188272700427973
T00221	5	5	5	4	4	5	4	5	5	2	2	0.9484163106653073
T00222	4	4	2	5	2	3	4	2	4	2	1	-1.5259546692876187
T00223	5	5	5	5	5	5	5	5	5	5	2	2.8118978359581535
T00224	5	5	5	5	4	5	4	5	4	3	2	0.311197826210376
T00225	5	4	4	2	5	2	2	4	2	2	1	-1.0368993832970343
T00226	5	5	5	4	5	5	5	5	5	5	2	0.7068561712337693
T00227	4	1	5	4	3	4	4	1	4	4	2	0.6034247347714908
T00228	5	4	4	4	5	0	2	5	4	2	2	-0.18613403563679398
T00229	5	5	5	5	5	4	4	5	5	3	2	0.7700356900065594
T00230	2	2	1	2	2	2	1	2	4	1	1	0.10587207381220032
T00231	5	1	3	2	2	3	2	3	3	1	1	-0.28929894104218534
T00232	5	4	4	5	5	4	5	5	4	5	1	1.0991452797751333
T00233	4	1	2	1	3	5	4	4	3	2	1	-0.10071976324689658
T00234	5	4	3	4	4	3	2	2	3	4	1	0.2638549276267287
T00235	4	2	1	1	2	4	2	2	4	1	1	0.24215047920796828
T00236	5	5	5	5	5	5	5	5	0	2	2	1.9924156456033346
T00237	3	3	2	4	2	5	1	4	4	2	2	-1.1134445412967113
T00238	5	5	5	4	5	5	4	4	5	4	2	1.2004181864964023
T00239	3	1	2	2	1	4	3	1	2	2	1	-0.6452866495840186
T00240	2	2	4	3	4	1	2	2	3	2	1	-0.886248238514155
T00241	2	2	4	2	2	4	2	4	3	1	1	-0.5645140626886428
T00242	4	5	4	5	5	5	4	2	5	4	2	0.5588707166897482
T00243	5	2	2	2	0	4	4	4	4	2	1	0.3344832320901308
T00244	5	2	3	2	4	4	4	4	5	1	2	0.7790121522493991
T00245	3	4	5	4	5	4	3	4	4	2	1	-0.4715315661954205
T00246	4	4	4	4	4	4	4	4	2	4	2	1.3106772439912282
T00247	0	4	5	3	4	5	5	5	5	3	1	1.1475529365286752
T00248	1	2	2	3	2	2	4	2	2	4	1	1.2497332427178762
T00249	4	4	4	3	4	5	4	2	4	5	2	0.432829576674127
T00250	5	1	5	4	5	5	3	4	4	5	2	0.6636281130041131
T00251	4	4	5	4	4	2	4	4	5	4	2	0.16554411003986008
T00252	1	1	2	2	3	1	3	1	2	1	1	-0.7039771337729079
T00253	3	2	2	2	4	4	4	1	1	2	1	-0.46020396913272704
T00254	3	4	4	5	4	4	2	4	4	1	1	-0.0457587613414171
T00255	5	4	4	2	5	4	4	3	5	3	1	1.1068919172293197
T00256	4	4	5	4	5	4	5	4	4	1	2	0.86844974702479
T00257	4	4	3	2	3	5	4	2	4	5	1	0.5648356883395708
T00258	5	2	5	4	4	4	4	5	4	3	1	-0.6331042597810973
T00259	4	5	5	2	5	4	5	5	4	4	2	-0.09233849469846067
T00260	4	4	5	2	4	5	5	5	3	5	2	1.8535862034539545
T00261	5	2	4	2	2	4	4	1	0	1	1	0.8891379386543381
T00262	1	2	2	2	1	4	4	1	1	1	1	-0.031527524452700684
T00263	5	4	4	5	3	5	5	4	5	5	1	1.2309959948537281
T00264	4	4	5	0	4	5	4	4	4	1	2	1.3448736291602685
T00265	5	5	5	4	5	5	5	4	5	5	1	1.1361250858840206
T00266	4	4	5	4	2	5	4	2	2	2	1	0.03544527685360499
T00267	4	1	3	1	2	4	3	2	4	1	2	-0.043547304585006344
T00268	5	4	4	4	5	4	4	3	4	3	2	0.7113120122636292
T00269	4	4	2	3	5	4	2	2	4	1	2	-0.5364931565482567
T00270	5	5	5	5	3	5	5	4	5	2	1	0.9899959502714251
T00271	2	2	4	3	5	5	2	4	4	2	1	-0.37020906963908323
T00272	3	4	2	4	2	5	2	2	4	4	2	-0.12351129328804633
T00273	5	5	3	4	4	5	5	4	4	1	2	1.2036888639320282
T00274	4	4	5	2	4	5	5	5	3	3	2	0.83547407542891
T00275	3	4	4	2	4	3	2	3	3	1	1	-0.6172813505605173
T00276	5	5	5	4	5	4	4	5	4	4	2	1.0835694908977431
T00277	4	4	5	5	4	5	0	5	3	5	2	2.344035360488254
T00278	5	5	4	5	5	3	5	4	5	5	2	1.2006141419540783
T00279	5	3	5	5	4	5	4	2	5	4	2	0.9026096412675918
T00280	4	2	2	4	4	3	4	2	4	1	1	-0.35979557280264274
T00281	4	3	5	3	4	4	5	5	4	2	2	0.5636424365847827
T00282	5	4	5	4	4	5	4	4	4	4	2	-0.8257559823668401
T00283	4	2	2	2	3	5	3	1	3	1	1	-0.08995782004563607
T00284	5	5	4	3	5	5	2	0	5	2	1	0.23510585322609037
T00285	2	2	1	3	2	3	2	4	4	3	1	-0.8674218239759961
T00286	5	5	5	4	4	4	5	4	5	5	2	-0.6358801389571347
T00287	3	2	3	3	3	3	2	2	4	2	2	-0.5733240223654401
T00288	5	1	5	4	4	3	2	2	4	0	1	-0.10009878097957853
T00289	5	5	5	0	4	4	4	4	5	4	1	0.5099069533487643
T00290	4	4	4	2	4	4	4	4	0	4	1	0.12081114906629112
T00291	2	1	2	1	2	4	2	2	4	1	1	-0.6293363149355125
T00292	4	4	4	2	2	4	2	1	3	0	1	-0.6097875030322188
T00293	3	5	5	4	5	5	4	5	5	2	1	0.6435413119278579
T00294	5	5	5	5	5	5	5	5	5	5	2	1.336146344418232
T00295	2	2	4	2	2	0	1	2	4	1	1	-1.8720375290169198
T00296	3	4	0	4	3	5	5	4	5	2	2	0.16859709714121196
T00297	5	2	0	5	0	3	3	3	2	2	1	-0.46981301127057695
T00298	3	5	2	2	4	3	4	4	5	4	1	0.4555702071281474
T00299	5	2	4	3	2	5	3	4	5	3	2	-0.4111209923007367
T00300	4	5	4	2	4	5	3	5	4	5	1	0.0012536106016351328
T00301	3	2	1	2	2	4	2	2	3	1	1	-0.04872097342660836
T00302	5	5	5	5	5	5	5	5	5	5	2	1.0511720661219783
T00303	3	4	5	3	4	5	4	3	4	3	1	0.1448708098731593
T00304	4	2	1	3	1	4	3	5	2	3	1	0.5647882250762155
T00305	4	2	3	2	2	3	5	2	4	2	2	0.2502134557712796
T00306	5	5	4	2	4	5	4	3	5	3	2	0.7081158963298817
T00307	5	2	5	5	4	4	4	2	5	3	1	-0.11782472139869346
T00308	5	5	4	2	4	5	5	5	4	3	2	0.30663258154626316
T00309	5	5	4	2	2	5	4	4	5	4	1	0.5193744191417389
T00310	5	4	3	4	5	5	5	5	5	3	1	0.4380819203711346
T00311	5	5	4	5	5	5	5	4	5	3	1	0.19645237267918547
T00312	4	4	5	5	3	5	4	4	5	2	1	0.5750502233013544
T00313	4	1	4	4	4	4	5	4	3	3	2	1.478920586419898
T00314	4	2	4	2	5	4	4	2	2	2	2	0.7033692830625687
T00315	5	5	5	3	5	5	4	3	5	2	2	-0.06221496308544572
T00316	5	1	4	3	3	5	2	3	1	2	2	0.12376344639343409
T00317	4	5	5	5	4	5	4	5	4	5	2	0.12429206683791605
T00318	0	2	5	2	1	2	2	1	3	2	1	-0.5760652680242396
T00319	5	4	2	4	4	5	4	2	2	3	1	-0.7433917868713956
T00320	4	4	4	3	4	4	2	4	3	4	2	-0.03536199893591335
T00321	4	1	2	2	3	4	4	2	5	2	1	0.28111361632330617
T00322	5	5	5	5	5	5	4	5	5	4	2	0.8004746645041618
T00323	3	2	3	2	3	4	2	3	4	3	1	-0.8405402022501987
T00324	4	1	4	1	4	3	2	3	4	2	2	0.7483779702682776
T00325	4	4	4	2	5	5	5	4	5	2	1	0.8660303100754478
T00326	2	1	1	1	1	1	1	1	1	1	2	0.0020446538417887017
T00327	4	5	5	4	5	4	5	4	4	3	2	1.2708292047434329
T00328	5	4	4	4	4	3	4	4	4	1	1	0.258208731251176
T00329	5	5	5	5	5	5	3	5	5	4	2	1.0076596019262238
T00330	5	4	5	4	5	5	5	4	4	5	2	0.7782537969490633
T00331	4	5	4	2	1	4	1	4	3	2	1	-0.5202520944068527
T00332	4	4	4	2	3	4	3	4	3	4	1	1.1858404221534413
T00333	4	2	4	2	2	5	4	3	4	4	2	0.9110238624570404
T00334	5	5	4	4	3	5	5	4	5	2	2	1.467064422804914
T00335	3	4	5	1	3	4	4	5	5	4	1	-0.32619345215045065
T00336	2	4	2	2	4	4	4	5	4	1	2	0.3632413599195927
T00337	4	4	4	5	4	5	4	5	5	3	1	1.0531235064817406
T00338	4	3	3	5	4	5	4	2	4	2	1	1.1620737344425902
T00339	5	4	3	2	5	5	5	5	5	5	2	1.2621284006790834
T00340	2	3	1	1	3	4	4	0	3	1	1	0.030317972216762547
T00341	5	4	5	5	5	5	5	5	5	5	2	0.565283343146375
T00342	4	3	4	2	5	4	5	2	3	2	2	1.5040617988213318
T00343	4	5	5	4	2	4	4	5	4	2	2	0.11804018492103086
T00344	5	4	0	0	4	2	5	4	5	2	1	0.426575406361683
T00345	4	5	4	5	5	5	4	5	4	2	1	-0.46226800968773385
T00346	3	4	4	2	5	3	5	4	3	5	2	0.5529823303849571
T00347	5	3	2	3	3	4	5	3	5	3	1	0.1443093143080531
T00348	5	3	4	4	5	0	5	5	4	3	2	0.9729847723565893
T00349	5	5	4	4	5	5	5	5	4	5	2	0.7474566219070287
T00350	5	3	5	4	5	4	4	3	4	2	1	0.3162597243882729
T00351	4	5	5	2	2	3	4	3	5	1	1	-0.982703064937406
T00352	5	4	5	2	2	4	4	4	3	3	2	0.8308460035661748
T00353	5	2	5	2	2	4	4	3	3	2	2	0.6306578353179559
T00354	1	4	2	4	1	4	1	2	2	2	1	-1.509607530911817
T00355	2	4	5	1	2	4	4	2	3	2	2	0.5633140070432799
T00356	4	3	4	3	3	0	2	4	4	3	1	0.7884444657505428
T00357	2	2	5	2	4	5	3	2	4	2	1	-0.7716054246757096
T00358	5	4	2	2	4	5	3	5	4	2	2	-0.1420542658729031
T00359	5	4	4	5	3	5	4	5	4	5	2	0.2229343780952847
T00360	5	4	3	4	5	3	4	3	5	4	2	0.6140004788369964
T00361	5	4	4	5	5	4	5	5	4	3	2	0.3383167376947569
T00362	4	5	5	4	2	3	4	5	4	4	1	0.171300812128662
T00363	5	5	3	4	5	4	5	4	4	3	1	1.2919353606718476
T00364	2	4	4	1	3	5	4	2	2	2	2	1.4129975118337113
T00365	5	3	5	4	2	5	4	5	4	4	2	-0.2685290335479871
T00366	5	4	5	5	4	4	4	4	5	5	2	0.8619923846794149
T00367	4	1	5	3	5	3	3	2	4	2	1	0.427974991643266
T00368	2	1	2	2	2	4	3	1	5	1	1	-0.7308806840146147
T00369	3	1	5	1	1	4	3	2	3	1	2	-0.24538835468868567
T00370	5	4	5	3	4	4	4	5	4	4	1	0.2356394303432106
T00371	4	5	4	3	4	4	4	5	5	5	1	0.5196558597140386
T00372	5	4	5	3	5	5	4	5	5	5	1	-0.10060214632021802
T00373	5	2	3	5	5	5	4	4	4	2	2	0.36888767138574796
T00374	3	2	4	4	3	5	5	3	4	2	2	-0.009258490916240647
T00375	4	4	3	3	5	4	2	2	0	5	1	-1.0463746221915493
T00376	4	2	2	4	2	4	4	4	4	4	1	-1.0975286714015802
T00377	4	4	2	2	0	4	4	3	4	2	2	0.23486754038591537
T00378	5	3	3	3	4	3	4	5	5	4	1	-0.2402466309536992
T00379	5	5	5	5	5	5	5	5	5	5	2	1.65505752903114
T00380	5	3	4	2	2	5	4	4	3	1	2	1.174076094212285
T00381	5	5	2	4	4	4	5	4	5	2	1	1.0015505988490856
T00382	5	4	5	5	5	5	5	5	5	5	2	0.7188377324254441
T00383	3	1	4	3	3	5	2	3	1	4	2	-0.5661482378457772
T00384	2	4	4	4	4	5	3	2	4	3	1	-1.8342178756500978
T00385	5	5	4	2	5	4	4	4	4	2	2	0.23554265415616604
T00386	2	3	4	2	2	4	4	3	2	1	1	-0.9401131638847301
T00387	1	2	2	1	1	2	1	1	2	3	1	-1.3206797778802328
T00388	5	5	5	4	4	5	4	5	4	3	1	0.7041904740776679
T00389	3	4	3	4	3	4	4	4	0	4	1	0.7375107637353524
T00390	3	4	4	3	2	4	4	4	5	2	1	-0.9150556818801067
T00391	5	5	5	5	4	5	5	5	5	3	2	1.3314633203651083
